city_name,province_name,value,date
上饶市,江西省,36.11,20200101
南昌市,江西省,14.55,20200101
九江市,江西省,8.57,20200101
抚州市,江西省,3.0,20200101
上海市,上海市,2.48,20200101
金华市,浙江省,2.23,20200101
鹰潭市,江西省,2.04,20200101
杭州市,浙江省,2.03,20200101
黄山市,安徽省,1.6,20200101
赣州市,江西省,1.36,20200101
宜春市,江西省,1.36,20200101
北京市,北京市,0.93,20200101
衢州市,浙江省,0.92,20200101
吉安市,江西省,0.78,20200101
池州市,安徽省,0.69,20200101
温州市,浙江省,0.66,20200101
绍兴市,浙江省,0.66,20200101
安庆市,安徽省,0.64,20200101
黄冈市,湖北省,0.6,20200101
武汉市,湖北省,0.55,20200101
宁波市,浙江省,0.55,20200101
合肥市,安徽省,0.52,20200101
苏州市,江苏省,0.5,20200101
南京市,江苏省,0.48,20200101
深圳市,广东省,0.47,20200101
六安市,安徽省,0.46,20200101
台州市,浙江省,0.43,20200101
广州市,广东省,0.42,20200101
泉州市,福建省,0.42,20200101
嘉兴市,浙江省,0.42,20200101
西安市,陕西省,0.37,20200101
萍乡市,江西省,0.36,20200101
芜湖市,安徽省,0.33,20200101
天津市,天津市,0.32,20200101
新余市,江西省,0.3,20200101
长沙市,湖南省,0.3,20200101
佛山市,广东省,0.28,20200101
南平市,福建省,0.28,20200101
宣城市,安徽省,0.27,20200101
郑州市,河南省,0.25,20200101
福州市,福建省,0.24,20200101
东莞市,广东省,0.23,20200101
湖州市,浙江省,0.23,20200101
昆明市,云南省,0.23,20200101
株洲市,湖南省,0.21,20200101
厦门市,福建省,0.21,20200101
重庆市,重庆市,0.2,20200101
咸阳市,陕西省,0.2,20200101
丽水市,浙江省,0.16,20200101
哈尔滨市,黑龙江省,0.16,20200101
上饶市,江西省,22.33,20200102
南昌市,江西省,16.0,20200102
九江市,江西省,7.71,20200102
上海市,上海市,3.62,20200102
金华市,浙江省,3.3,20200102
抚州市,江西省,3.1,20200102
赣州市,江西省,2.25,20200102
鹰潭市,江西省,2.22,20200102
杭州市,浙江省,2.03,20200102
宜春市,江西省,1.87,20200102
北京市,北京市,1.29,20200102
黄山市,安徽省,1.1,20200102
吉安市,江西省,1.03,20200102
武汉市,湖北省,1.0,20200102
温州市,浙江省,0.99,20200102
广州市,广东省,0.8,20200102
宁波市,浙江省,0.8,20200102
绍兴市,浙江省,0.7,20200102
台州市,浙江省,0.7,20200102
南京市,江苏省,0.67,20200102
合肥市,安徽省,0.67,20200102
深圳市,广东省,0.62,20200102
苏州市,江苏省,0.61,20200102
无锡市,江苏省,0.58,20200102
衢州市,浙江省,0.58,20200102
萍乡市,江西省,0.58,20200102
泉州市,福建省,0.56,20200102
长沙市,湖南省,0.56,20200102
池州市,安徽省,0.55,20200102
新余市,江西省,0.55,20200102
重庆市,重庆市,0.53,20200102
福州市,福建省,0.47,20200102
黄冈市,湖北省,0.44,20200102
厦门市,福建省,0.42,20200102
嘉兴市,浙江省,0.4,20200102
天津市,天津市,0.4,20200102
阜阳市,安徽省,0.37,20200102
湖州市,浙江省,0.33,20200102
珠海市,广东省,0.33,20200102
南平市,福建省,0.33,20200102
亳州市,安徽省,0.33,20200102
东莞市,广东省,0.31,20200102
六安市,安徽省,0.31,20200102
佛山市,广东省,0.31,20200102
芜湖市,安徽省,0.29,20200102
丽水市,浙江省,0.28,20200102
哈尔滨市,黑龙江省,0.28,20200102
安庆市,安徽省,0.28,20200102
株洲市,湖南省,0.26,20200102
贵阳市,贵州省,0.26,20200102
上饶市,江西省,26.29,20200103
南昌市,江西省,18.28,20200103
九江市,江西省,7.58,20200103
上海市,上海市,2.69,20200103
金华市,浙江省,2.67,20200103
抚州市,江西省,2.63,20200103
杭州市,浙江省,2.26,20200103
赣州市,江西省,2.05,20200103
宜春市,江西省,2.0,20200103
鹰潭市,江西省,1.83,20200103
黄山市,安徽省,1.25,20200103
武汉市,湖北省,1.04,20200103
衢州市,浙江省,1.03,20200103
池州市,安徽省,0.98,20200103
温州市,浙江省,0.92,20200103
南京市,江苏省,0.88,20200103
合肥市,安徽省,0.86,20200103
长沙市,湖南省,0.79,20200103
吉安市,江西省,0.77,20200103
北京市,北京市,0.68,20200103
宁波市,浙江省,0.66,20200103
深圳市,广东省,0.66,20200103
安庆市,安徽省,0.53,20200103
泉州市,福建省,0.52,20200103
绍兴市,浙江省,0.48,20200103
萍乡市,江西省,0.47,20200103
福州市,福建省,0.47,20200103
苏州市,江苏省,0.46,20200103
新余市,江西省,0.45,20200103
台州市,浙江省,0.44,20200103
南平市,福建省,0.43,20200103
厦门市,福建省,0.43,20200103
嘉兴市,浙江省,0.4,20200103
无锡市,江苏省,0.38,20200103
黄冈市,湖北省,0.37,20200103
六安市,安徽省,0.36,20200103
佛山市,广东省,0.34,20200103
广州市,广东省,0.33,20200103
湖州市,浙江省,0.29,20200103
宣城市,安徽省,0.28,20200103
芜湖市,安徽省,0.27,20200103
重庆市,重庆市,0.27,20200103
青岛市,山东省,0.26,20200103
昆明市,云南省,0.26,20200103
西安市,陕西省,0.25,20200103
哈尔滨市,黑龙江省,0.24,20200103
阜阳市,安徽省,0.23,20200103
孝感市,湖北省,0.23,20200103
湘潭市,湖南省,0.21,20200103
莆田市,福建省,0.21,20200103
上饶市,江西省,28.91,20200104
南昌市,江西省,14.99,20200104
九江市,江西省,7.85,20200104
上海市,上海市,2.97,20200104
抚州市,江西省,2.41,20200104
杭州市,浙江省,2.26,20200104
赣州市,江西省,2.02,20200104
金华市,浙江省,1.92,20200104
鹰潭市,江西省,1.91,20200104
宜春市,江西省,1.76,20200104
黄山市,安徽省,1.46,20200104
武汉市,湖北省,1.12,20200104
北京市,北京市,0.93,20200104
吉安市,江西省,0.93,20200104
温州市,浙江省,0.9,20200104
南京市,江苏省,0.8,20200104
池州市,安徽省,0.79,20200104
衢州市,浙江省,0.76,20200104
绍兴市,浙江省,0.71,20200104
苏州市,江苏省,0.67,20200104
广州市,广东省,0.65,20200104
合肥市,安徽省,0.58,20200104
安庆市,安徽省,0.58,20200104
宁波市,浙江省,0.53,20200104
