city_name,province_name,value,date
哈尔滨市,黑龙江省,27.58,20200101
牡丹江市,黑龙江省,22.66,20200101
七台河市,黑龙江省,8.57,20200101
双鸭山市,黑龙江省,7.68,20200101
佳木斯市,黑龙江省,4.79,20200101
北京市,北京市,3.46,20200101
沈阳市,辽宁省,1.84,20200101
青岛市,山东省,1.8,20200101
大庆市,黑龙江省,1.8,20200101
大连市,辽宁省,1.3,20200101
绥化市,黑龙江省,1.17,20200101
齐齐哈尔市,黑龙江省,1.11,20200101
鹤岗市,黑龙江省,1.07,20200101
长春市,吉林省,0.92,20200101
延边朝鲜族自治州,吉林省,0.73,20200101
天津市,天津市,0.63,20200101
上海市,上海市,0.63,20200101
廊坊市,河北省,0.63,20200101
铁岭市,辽宁省,0.57,20200101
烟台市,山东省,0.57,20200101
威海市,山东省,0.5,20200101
广州市,广东省,0.44,20200101
伊春市,黑龙江省,0.41,20200101
吉林市,吉林省,0.41,20200101
三亚市,海南省,0.38,20200101
苏州市,江苏省,0.31,20200101
秦皇岛市,河北省,0.28,20200101
唐山市,河北省,0.25,20200101
四平市,吉林省,0.25,20200101
深圳市,广东省,0.25,20200101
呼伦贝尔市,内蒙古自治区,0.25,20200101
松原市,吉林省,0.22,20200101
日照市,山东省,0.22,20200101
西安市,陕西省,0.22,20200101
鞍山市,辽宁省,0.22,20200101
成都市,四川省,0.19,20200101
东莞市,广东省,0.19,20200101
济南市,山东省,0.19,20200101
武汉市,湖北省,0.19,20200101
石家庄市,河北省,0.15,20200101
白山市,吉林省,0.15,20200101
保定市,河北省,0.15,20200101
郑州市,河南省,0.15,20200101
太原市,山西省,0.15,20200101
锦州市,辽宁省,0.15,20200101
黑河市,黑龙江省,0.15,20200101
南昌市,江西省,0.12,20200101
营口市,辽宁省,0.12,20200101
通化市,吉林省,0.12,20200101
潍坊市,山东省,0.12,20200101
哈尔滨市,黑龙江省,31.35,20200102
牡丹江市,黑龙江省,16.72,20200102
七台河市,黑龙江省,5.76,20200102
双鸭山市,黑龙江省,5.19,20200102
佳木斯市,黑龙江省,5.1,20200102
北京市,北京市,3.71,20200102
青岛市,山东省,3.22,20200102
大连市,辽宁省,2.7,20200102
绥化市,黑龙江省,1.76,20200102
齐齐哈尔市,黑龙江省,1.74,20200102
长春市,吉林省,1.69,20200102
