city_name,province_name,value,date
郑州市,河南省,28.66,20200101
许昌市,河南省,16.34,20200101
洛阳市,河南省,9.66,20200101
漯河市,河南省,7.9,20200101
南阳市,河南省,7.63,20200101
驻马店市,河南省,3.55,20200101
周口市,河南省,2.54,20200101
开封市,河南省,1.53,20200101
新乡市,河南省,1.45,20200101
信阳市,河南省,1.3,20200101
商丘市,河南省,1.24,20200101
北京市,北京市,1.01,20200101
焦作市,河南省,0.97,20200101
苏州市,江苏省,0.94,20200101
三门峡市,河南省,0.94,20200101
安阳市,河南省,0.69,20200101
西安市,陕西省,0.63,20200101
上海市,上海市,0.55,20200101
濮阳市,河南省,0.43,20200101
武汉市,湖北省,0.41,20200101
襄阳市,湖北省,0.33,20200101
济源市,河南省,0.28,20200101
运城市,山西省,0.24,20200101
鹤壁市,河南省,0.24,20200101
阜阳市,安徽省,0.22,20200101
重庆市,重庆市,0.21,20200101
杭州市,浙江省,0.2,20200101
南京市,江苏省,0.2,20200101
广州市,广东省,0.2,20200101
菏泽市,山东省,0.19,20200101
深圳市,广东省,0.19,20200101
长沙市,湖南省,0.16,20200101
宁波市,浙江省,0.15,20200101
六安市,安徽省,0.14,20200101
石家庄市,河北省,0.14,20200101
天津市,天津市,0.13,20200101
无锡市,江苏省,0.13,20200101
晋城市,山西省,0.12,20200101
济南市,山东省,0.12,20200101
十堰市,湖北省,0.12,20200101
徐州市,江苏省,0.11,20200101
太原市,山西省,0.11,20200101
成都市,四川省,0.11,20200101
合肥市,安徽省,0.11,20200101
临汾市,山西省,0.11,20200101
邯郸市,河北省,0.1,20200101
咸阳市,陕西省,0.1,20200101
长治市,山西省,0.1,20200101
咸宁市,湖北省,0.09,20200101
随州市,湖北省,0.09,20200101
郑州市,河南省,27.69,20200102
许昌市,河南省,9.84,20200102
洛阳市,河南省,7.65,20200102
南阳市,河南省,7.14,20200102
漯河市,河南省,4.69,20200102
驻马店市,河南省,3.87,20200102
周口市,河南省,3.87,20200102
开封市,河南省,2.15,20200102
信阳市,河南省,2.12,20200102
商丘市,河南省,2.05,20200102
新乡市,河南省,1.98,20200102
焦作市,河南省,1.36,20200102
苏州市,江苏省,1.35,20200102
北京市,北京市,1.26,20200102
安阳市,河南省,1.2,20200102
三门峡市,河南省,1.19,20200102
上海市,上海市,0.99,20200102
濮阳市,河南省,0.8,20200102
西安市,陕西省,0.77,20200102
武汉市,湖北省,0.46,20200102
襄阳市,湖北省,0.46,20200102
鹤壁市,河南省,0.43,20200102
杭州市,浙江省,0.36,20200102
重庆市,重庆市,0.33,20200102
深圳市,广东省,0.31,20200102
广州市,广东省,0.28,20200102
济源市,河南省,0.27,20200102
菏泽市,山东省,0.26,20200102
无锡市,江苏省,0.24,20200102
长沙市,湖南省,0.23,20200102
阜阳市,安徽省,0.23,20200102
南京市,江苏省,0.23,20200102
天津市,天津市,0.22,20200102
成都市,四川省,0.21,20200102
石家庄市,河北省,0.21,20200102
厦门市,福建省,0.19,20200102
运城市,山西省,0.19,20200102
保定市,河北省,0.19,20200102
东莞市,广东省,0.18,20200102
合肥市,安徽省,0.18,20200102
福州市,福建省,0.17,20200102
十堰市,湖北省,0.17,20200102
昆明市,云南省,0.17,20200102
温州市,浙江省,0.16,20200102
咸宁市,湖北省,0.16,20200102
聊城市,山东省,0.16,20200102
济南市,山东省,0.15,20200102
孝感市,湖北省,0.15,20200102
荆门市,湖北省,0.15,20200102
青岛市,山东省,0.14,20200102
郑州市,河南省,28.13,20200103
许昌市,河南省,12.26,20200103
洛阳市,河南省,7.72,20200103
南阳市,河南省,7.58,20200103
漯河市,河南省,6.33,20200103
周口市,河南省,4.23,20200103
驻马店市,河南省,3.75,20200103
信阳市,河南省,2.05,20200103
商丘市,河南省,1.91,20200103
开封市,河南省,1.76,20200103
新乡市,河南省,1.72,20200103
焦作市,河南省,1.34,20200103
三门峡市,河南省,1.09,20200103
苏州市,江苏省,0.96,20200103
北京市,北京市,0.93,20200103
安阳市,河南省,0.9,20200103
西安市,陕西省,0.62,20200103
濮阳市,河南省,0.62,20200103
上海市,上海市,0.57,20200103
武汉市,湖北省,0.49,20200103
襄阳市,湖北省,0.48,20200103
鹤壁市,河南省,0.44,20200103
济源市,河南省,0.37,20200103
广州市,广东省,0.32,20200103
深圳市,广东省,0.31,20200103
长沙市,湖南省,0.28,20200103
杭州市,浙江省,0.28,20200103
天津市,天津市,0.27,20200103
南京市,江苏省,0.25,20200103
厦门市,福建省,0.25,20200103
阜阳市,安徽省,0.24,20200103
菏泽市,山东省,0.22,20200103
重庆市,重庆市,0.22,20200103
无锡市,江苏省,0.18,20200103
邯郸市,河北省,0.17,20200103
成都市,四川省,0.17,20200103
十堰市,湖北省,0.17,20200103
青岛市,山东省,0.16,20200103
石家庄市,河北省,0.15,20200103
运城市,山西省,0.15,20200103
亳州市,安徽省,0.15,20200103
盐城市,江苏省,0.14,20200103
随州市,湖北省,0.14,20200103
长治市,山西省,0.13,20200103
合肥市,安徽省,0.13,20200103
保定市,河北省,0.12,20200103
宜昌市,湖北省,0.12,20200103
孝感市,湖北省,0.12,20200103
南通市,江苏省,0.12,20200103
济南市,山东省,0.12,20200103
郑州市,河南省,27.64,20200104
许昌市,河南省,14.6,20200104
洛阳市,河南省,8.48,20200104
南阳市,河南省,7.63,20200104
漯河市,河南省,7.19,20200104
驻马店市,河南省,4.26,20200104
周口市,河南省,3.69,20200104
开封市,河南省,1.98,20200104
信阳市,河南省,1.61,20200104
商丘市,河南省,1.51,20200104
新乡市,河南省,1.39,20200104
焦作市,河南省,1.05,20200104
北京市,北京市,1.01,20200104
苏州市,江苏省,1.01,20200104
安阳市,河南省,0.84,20200104
三门峡市,河南省,0.78,20200104
武汉市,湖北省,0.72,20200104
上海市,上海市,0.61,20200104
濮阳市,河南省,0.6,20200104
西安市,陕西省,0.45,20200104
鹤壁市,河南省,0.35,20200104
杭州市,浙江省,0.33,20200104
济源市,河南省,0.33,20200104
襄阳市,湖北省,0.28,20200104
重庆市,重庆市,0.24,20200104
阜阳市,安徽省,0.22,20200104
深圳市,广东省,0.22,20200104
南京市,江苏省,0.22,20200104
菏泽市,山东省,0.21,20200104
广州市,广东省,0.19,20200104
