city_name,province_name,value,date
合肥市,安徽省,41.31,20200101
阜阳市,安徽省,13.11,20200101
六安市,安徽省,7.89,20200101
蚌埠市,安徽省,5.27,20200101
上海市,上海市,4.39,20200101
亳州市,安徽省,3.68,20200101
滁州市,安徽省,3.36,20200101
南京市,江苏省,1.71,20200101
苏州市,江苏省,1.32,20200101
芜湖市,安徽省,1.24,20200101
宿州市,安徽省,1.15,20200101
淮北市,安徽省,0.95,20200101
安庆市,安徽省,0.9,20200101
杭州市,浙江省,0.75,20200101
无锡市,江苏省,0.68,20200101
池州市,安徽省,0.48,20200101
北京市,北京市,0.46,20200101
宁波市,浙江省,0.39,20200101
徐州市,江苏省,0.39,20200101
常州市,江苏省,0.39,20200101
扬州市,江苏省,0.38,20200101
马鞍山市,安徽省,0.35,20200101
宣城市,安徽省,0.3,20200101
铜陵市,安徽省,0.27,20200101
嘉兴市,浙江省,0.26,20200101
深圳市,广东省,0.26,20200101
信阳市,河南省,0.25,20200101
郑州市,河南省,0.25,20200101
商丘市,河南省,0.23,20200101
南通市,江苏省,0.22,20200101
金华市,浙江省,0.22,20200101
镇江市,江苏省,0.21,20200101
黄山市,安徽省,0.18,20200101
驻马店市,河南省,0.18,20200101
武汉市,湖北省,0.18,20200101
重庆市,重庆市,0.17,20200101
淮安市,江苏省,0.16,20200101
周口市,河南省,0.16,20200101
宿迁市,江苏省,0.15,20200101
南阳市,河南省,0.15,20200101
湖州市,浙江省,0.15,20200101
泰州市,江苏省,0.15,20200101
绍兴市,浙江省,0.14,20200101
渭南市,陕西省,0.14,20200101
天津市,天津市,0.13,20200101
西安市,陕西省,0.13,20200101
黄冈市,湖北省,0.11,20200101
温州市,浙江省,0.1,20200101
九江市,江西省,0.1,20200101
菏泽市,山东省,0.09,20200101
合肥市,安徽省,37.68,20200102
阜阳市,安徽省,10.53,20200102
六安市,安徽省,6.23,20200102
上海市,上海市,6.04,20200102
蚌埠市,安徽省,3.94,20200102
亳州市,安徽省,2.82,20200102
滁州市,安徽省,2.7,20200102
南京市,江苏省,2.1,20200102
苏州市,江苏省,1.93,20200102
宿州市,安徽省,1.72,20200102
芜湖市,安徽省,1.49,20200102
淮北市,安徽省,1.31,20200102
安庆市,安徽省,1.1,20200102
杭州市,浙江省,1.0,20200102
马鞍山市,安徽省,0.82,20200102
北京市,北京市,0.77,20200102
无锡市,江苏省,0.76,20200102
宁波市,浙江省,0.61,20200102
徐州市,江苏省,0.61,20200102
池州市,安徽省,0.52,20200102
常州市,江苏省,0.49,20200102
宣城市,安徽省,0.44,20200102
重庆市,重庆市,0.38,20200102
武汉市,湖北省,0.36,20200102
嘉兴市,浙江省,0.36,20200102
信阳市,河南省,0.33,20200102
黄山市,安徽省,0.32,20200102
郑州市,河南省,0.31,20200102
深圳市,广东省,0.31,20200102
商丘市,河南省,0.31,20200102
铜陵市,安徽省,0.3,20200102
扬州市,江苏省,0.29,20200102
南通市,江苏省,0.29,20200102
湖州市,浙江省,0.28,20200102
镇江市,江苏省,0.27,20200102
金华市,浙江省,0.24,20200102
宿迁市,江苏省,0.24,20200102
周口市,河南省,0.22,20200102
