city_name,province_name,value,date
常德市,湖南省,23.68,20200101
湘西土家族苗族自治州,湖南省,21.55,20200101
长沙市,湖南省,20.29,20200101
怀化市,湖南省,4.3,20200101
恩施土家族苗族自治州,湖北省,3.14,20200101
益阳市,湖南省,1.53,20200101
重庆市,重庆市,1.52,20200101
株洲市,湖南省,1.39,20200101
岳阳市,湖南省,1.27,20200101
广州市,广东省,1.12,20200101
邵阳市,湖南省,0.99,20200101
娄底市,湖南省,0.96,20200101
上海市,上海市,0.91,20200101
深圳市,广东省,0.91,20200101
湘潭市,湖南省,0.89,20200101
武汉市,湖北省,0.86,20200101
荆州市,湖北省,0.74,20200101
北京市,北京市,0.74,20200101
衡阳市,湖南省,0.69,20200101
东莞市,广东省,0.57,20200101
郴州市,湖南省,0.43,20200101
铜仁市,贵州省,0.39,20200101
永州市,湖南省,0.39,20200101
佛山市,广东省,0.31,20200101
贵阳市,贵州省,0.29,20200101
南宁市,广西壮族自治区,0.28,20200101
成都市,四川省,0.26,20200101
桂林市,广西壮族自治区,0.26,20200101
宜昌市,湖北省,0.26,20200101
苏州市,江苏省,0.24,20200101
杭州市,浙江省,0.23,20200101
襄阳市,湖北省,0.21,20200101
珠海市,广东省,0.19,20200101
海口市,海南省,0.18,20200101
南昌市,江西省,0.18,20200101
南阳市,河南省,0.18,20200101
廊坊市,河北省,0.16,20200101
青岛市,山东省,0.14,20200101
惠州市,广东省,0.14,20200101
肇庆市,广东省,0.14,20200101
福州市,福建省,0.14,20200101
宜春市,江西省,0.14,20200101
洛阳市,河南省,0.13,20200101
温州市,浙江省,0.13,20200101
毕节市,贵州省,0.11,20200101
昆明市,云南省,0.11,20200101
厦门市,福建省,0.11,20200101
黄石市,湖北省,0.11,20200101
郑州市,河南省,0.11,20200101
黔东南苗族侗族自治州,贵州省,0.11,20200101
长沙市,湖南省,25.11,20200102
常德市,湖南省,17.65,20200102
湘西土家族苗族自治州,湖南省,15.74,20200102
怀化市,湖南省,5.0,20200102
恩施土家族苗族自治州,湖北省,2.4,20200102
重庆市,重庆市,1.94,20200102
