city_name,province_name,value,date
西安市,陕西省,36.7,20200101
榆林市,陕西省,23.46,20200101
渭南市,陕西省,7.12,20200101
咸阳市,陕西省,3.83,20200101
庆阳市,甘肃省,3.68,20200101
铜川市,陕西省,3.46,20200101
临汾市,山西省,2.83,20200101
北京市,北京市,1.79,20200101
银川市,宁夏回族自治区,1.7,20200101
运城市,山西省,1.29,20200101
宝鸡市,陕西省,0.82,20200101
鄂尔多斯市,内蒙古自治区,0.78,20200101
商洛市,陕西省,0.61,20200101
吕梁市,山西省,0.61,20200101
安康市,陕西省,0.56,20200101
重庆市,重庆市,0.52,20200101
汉中市,陕西省,0.51,20200101
吴忠市,宁夏回族自治区,0.39,20200101
南阳市,河南省,0.39,20200101
成都市,四川省,0.27,20200101
郑州市,河南省,0.25,20200101
三门峡市,河南省,0.24,20200101
洛阳市,河南省,0.23,20200101
上海市,上海市,0.21,20200101
晋中市,山西省,0.21,20200101
太原市,山西省,0.17,20200101
长治市,山西省,0.17,20200101
兰州市,甘肃省,0.17,20200101
石嘴山市,宁夏回族自治区,0.16,20200101
濮阳市,河南省,0.15,20200101
新乡市,河南省,0.15,20200101
天津市,天津市,0.13,20200101
石家庄市,河北省,0.13,20200101
邯郸市,河北省,0.13,20200101
巴中市,四川省,0.12,20200101
信阳市,河南省,0.12,20200101
菏泽市,山东省,0.12,20200101
平凉市,甘肃省,0.12,20200101
十堰市,湖北省,0.11,20200101
徐州市,江苏省,0.1,20200101
深圳市,广东省,0.1,20200101
阜阳市,安徽省,0.1,20200101
沧州市,河北省,0.09,20200101
周口市,河南省,0.09,20200101
乌海市,内蒙古自治区,0.09,20200101
保定市,河北省,0.08,20200101
廊坊市,河北省,0.08,20200101
济宁市,山东省,0.08,20200101
邢台市,河北省,0.08,20200101
温州市,浙江省,0.07,20200101
西安市,陕西省,42.57,20200102
榆林市,陕西省,17.65,20200102
渭南市,陕西省,5.46,20200102
咸阳市,陕西省,3.87,20200102
庆阳市,甘肃省,2.98,20200102
铜川市,陕西省,2.15,20200102
银川市,宁夏回族自治区,1.63,20200102
临汾市,山西省,1.45,20200102
北京市,北京市,1.42,20200102
运城市,山西省,0.88,20200102
宝鸡市,陕西省,0.84,20200102
安康市,陕西省,0.74,20200102
鄂尔多斯市,内蒙古自治区,0.73,20200102
重庆市,重庆市,0.72,20200102
商洛市,陕西省,0.71,20200102
成都市,四川省,0.57,20200102
汉中市,陕西省,0.55,20200102
吕梁市,山西省,0.48,20200102
南阳市,河南省,0.47,20200102
太原市,山西省,0.45,20200102
吴忠市,宁夏回族自治区,0.39,20200102
洛阳市,河南省,0.34,20200102
郑州市,河南省,0.34,20200102
兰州市,甘肃省,0.26,20200102
菏泽市,山东省,0.25,20200102
天津市,天津市,0.24,20200102
阜阳市,安徽省,0.23,20200102
晋中市,山西省,0.23,20200102
平凉市,甘肃省,0.23,20200102
济宁市,山东省,0.22,20200102
新乡市,河南省,0.19,20200102
