city_name,province_name,value,date
滨州市,山东省,24.48,20200101
潍坊市,山东省,17.87,20200101
淄博市,山东省,9.15,20200101
济南市,山东省,7.39,20200101
烟台市,山东省,4.44,20200101
青岛市,山东省,4.05,20200101
临沂市,山东省,2.91,20200101
德州市,山东省,2.77,20200101
北京市,北京市,2.55,20200101
济宁市,山东省,1.44,20200101
天津市,天津市,1.44,20200101
菏泽市,山东省,1.38,20200101
聊城市,山东省,1.37,20200101
泰安市,山东省,1.27,20200101
沧州市,河北省,1.16,20200101
日照市,山东省,0.63,20200101
上海市,上海市,0.59,20200101
枣庄市,山东省,0.46,20200101
石家庄市,河北省,0.44,20200101
衡水市,河北省,0.42,20200101
威海市,山东省,0.41,20200101
保定市,河北省,0.36,20200101
廊坊市,河北省,0.35,20200101
盐城市,江苏省,0.32,20200101
邯郸市,河北省,0.32,20200101
唐山市,河北省,0.32,20200101
西安市,陕西省,0.3,20200101
濮阳市,河南省,0.29,20200101
邢台市,河北省,0.27,20200101
益阳市,湖南省,0.25,20200101
连云港市,江苏省,0.25,20200101
大连市,辽宁省,0.22,20200101
徐州市,江苏省,0.21,20200101
南通市,江苏省,0.21,20200101
三门峡市,河南省,0.18,20200101
郑州市,河南省,0.18,20200101
南京市,江苏省,0.18,20200101
哈尔滨市,黑龙江省,0.17,20200101
新乡市,河南省,0.16,20200101
葫芦岛市,辽宁省,0.16,20200101
重庆市,重庆市,0.16,20200101
成都市,四川省,0.16,20200101
无锡市,江苏省,0.16,20200101
商丘市,河南省,0.14,20200101
驻马店市,河南省,0.14,20200101
通辽市,内蒙古自治区,0.14,20200101
南阳市,河南省,0.13,20200101
宿迁市,江苏省,0.13,20200101
周口市,河南省,0.13,20200101
扬州市,江苏省,0.12,20200101
滨州市,山东省,15.94,20200102
潍坊市,山东省,11.7,20200102
济南市,山东省,8.45,20200102
淄博市,山东省,7.26,20200102
青岛市,山东省,5.02,20200102
北京市,北京市,3.72,20200102
临沂市,山东省,3.34,20200102
烟台市,山东省,3.24,20200102
德州市,山东省,2.96,20200102
菏泽市,山东省,2.57,20200102
济宁市,山东省,2.36,20200102
聊城市,山东省,1.8,20200102
泰安市,山东省,1.63,20200102
天津市,天津市,1.46,20200102
沧州市,河北省,1.2,20200102
上海市,上海市,0.98,20200102
日照市,山东省,0.85,20200102
威海市,山东省,0.61,20200102
盐城市,江苏省,0.56,20200102
益阳市,湖南省,0.5,20200102
濮阳市,河南省,0.48,20200102
徐州市,江苏省,0.47,20200102
唐山市,河北省,0.47,20200102
枣庄市,山东省,0.46,20200102
连云港市,江苏省,0.46,20200102
保定市,河北省,0.44,20200102
石家庄市,河北省,0.44,20200102
邯郸市,河北省,0.34,20200102
廊坊市,河北省,0.34,20200102
成都市,四川省,0.33,20200102
重庆市,重庆市,0.32,20200102
南通市,江苏省,0.32,20200102
苏州市,江苏省,0.32,20200102
哈尔滨市,黑龙江省,0.31,20200102
西安市,陕西省,0.3,20200102
南京市,江苏省,0.29,20200102
周口市,河南省,0.29,20200102
郑州市,河南省,0.29,20200102
长治市,山西省,0.28,20200102
三门峡市,河南省,0.27,20200102
大连市,辽宁省,0.26,20200102
黄山市,安徽省,0.26,20200102
鄂尔多斯市,内蒙古自治区,0.25,20200102
