city_name,province_name,value,date
福州市,福建省,23.17,20200101
泉州市,福建省,14.58,20200101
南平市,福建省,12.09,20200101
厦门市,福建省,11.23,20200101
龙岩市,福建省,8.8,20200101
赣州市,江西省,3.14,20200101
漳州市,福建省,3.05,20200101
莆田市,福建省,2.64,20200101
宁德市,福建省,2.39,20200101
抚州市,江西省,1.63,20200101
南昌市,江西省,0.94,20200101
上海市,上海市,0.84,20200101
深圳市,广东省,0.54,20200101
重庆市,重庆市,0.53,20200101
温州市,浙江省,0.52,20200101
杭州市,浙江省,0.52,20200101
广州市,广东省,0.47,20200101
金华市,浙江省,0.47,20200101
上饶市,江西省,0.42,20200101
吉安市,江西省,0.37,20200101
梅州市,广东省,0.34,20200101
武汉市,湖北省,0.34,20200101
东莞市,广东省,0.31,20200101
北京市,北京市,0.27,20200101
黔东南苗族侗族自治州,贵州省,0.25,20200101
丽水市,浙江省,0.24,20200101
成都市,四川省,0.22,20200101
宁波市,浙江省,0.21,20200101
长沙市,湖南省,0.21,20200101
衢州市,浙江省,0.2,20200101
宜春市,江西省,0.2,20200101
九江市,江西省,0.18,20200101
怀化市,湖南省,0.18,20200101
曲靖市,云南省,0.18,20200101
南充市,四川省,0.18,20200101
遵义市,贵州省,0.17,20200101
惠州市,广东省,0.16,20200101
汕头市,广东省,0.15,20200101
台州市,浙江省,0.14,20200101
达州市,四川省,0.14,20200101
景德镇市,江西省,0.14,20200101
南京市,江苏省,0.14,20200101
佛山市,广东省,0.13,20200101
揭阳市,广东省,0.13,20200101
鹰潭市,江西省,0.13,20200101
贵阳市,贵州省,0.13,20200101
黔南布依族苗族自治州,贵州省,0.12,20200101
苏州市,江苏省,0.12,20200101
广安市,四川省,0.12,20200101
邵阳市,湖南省,0.11,20200101
福州市,福建省,23.65,20200102
泉州市,福建省,13.6,20200102
厦门市,福建省,12.33,20200102
南平市,福建省,9.9,20200102
龙岩市,福建省,6.21,20200102
漳州市,福建省,3.0,20200102
莆田市,福建省,2.9,20200102
宁德市,福建省,2.43,20200102
赣州市,江西省,2.34,20200102
抚州市,江西省,0.98,20200102
上海市,上海市,0.92,20200102
南昌市,江西省,0.83,20200102
重庆市,重庆市,0.77,20200102
温州市,浙江省,0.67,20200102
广州市,广东省,0.6,20200102
深圳市,广东省,0.59,20200102
宜春市,江西省,0.57,20200102
金华市,浙江省,0.47,20200102
杭州市,浙江省,0.46,20200102
黔东南苗族侗族自治州,贵州省,0.46,20200102
北京市,北京市,0.41,20200102
汕头市,广东省,0.36,20200102
上饶市,江西省,0.35,20200102
曲靖市,云南省,0.33,20200102
梅州市,广东省,0.33,20200102
东莞市,广东省,0.32,20200102
苏州市,江苏省,0.29,20200102
惠州市,广东省,0.27,20200102
佛山市,广东省,0.26,20200102
长沙市,湖南省,0.25,20200102
襄阳市,湖北省,0.24,20200102
恩施土家族苗族自治州,湖北省,0.23,20200102
南充市,四川省,0.21,20200102
吉安市,江西省,0.21,20200102
无锡市,江苏省,0.21,20200102
九江市,江西省,0.21,20200102
武汉市,湖北省,0.21,20200102
毕节市,贵州省,0.19,20200102
衢州市,浙江省,0.19,20200102
台州市,浙江省,0.19,20200102
南阳市,河南省,0.18,20200102
黔南布依族苗族自治州,贵州省,0.17,20200102
遵义市,贵州省,0.17,20200102
西安市,陕西省,0.17,20200102
贵阳市,贵州省,0.16,20200102
邵阳市,湖南省,0.16,20200102
黄冈市,湖北省,0.16,20200102
黄山市,安徽省,0.16,20200102
江门市,广东省,0.15,20200102
六盘水市,贵州省,0.15,20200102
福州市,福建省,23.78,20200103
厦门市,福建省,12.88,20200103
泉州市,福建省,12.83,20200103
南平市,福建省,10.92,20200103
龙岩市,福建省,7.1,20200103
漳州市,福建省,3.57,20200103
莆田市,福建省,2.72,20200103
赣州市,江西省,2.29,20200103
宁德市,福建省,2.22,20200103
抚州市,江西省,1.41,20200103
南昌市,江西省,1.12,20200103
上海市,上海市,0.72,20200103
重庆市,重庆市,0.65,20200103
上饶市,江西省,0.57,20200103
深圳市,广东省,0.53,20200103
广州市,广东省,0.53,20200103
汕头市,广东省,0.51,20200103
温州市,浙江省,0.47,20200103
杭州市,浙江省,0.44,20200103
东莞市,广东省,0.4,20200103
金华市,浙江省,0.38,20200103
北京市,北京市,0.34,20200103
黔东南苗族侗族自治州,贵州省,0.31,20200103
宜春市,江西省,0.3,20200103
九江市,江西省,0.29,20200103
武汉市,湖北省,0.29,20200103
长沙市,湖南省,0.28,20200103
苏州市,江苏省,0.25,20200103
梅州市,广东省,0.23,20200103
贵阳市,贵州省,0.23,20200103
丽水市,浙江省,0.23,20200103
恩施土家族苗族自治州,湖北省,0.21,20200103
佛山市,广东省,0.21,20200103
惠州市,广东省,0.2,20200103
曲靖市,云南省,0.19,20200103
无锡市,江苏省,0.19,20200103
鹰潭市,江西省,0.19,20200103
邵阳市,湖南省,0.19,20200103
吉安市,江西省,0.18,20200103
南京市,江苏省,0.18,20200103
昆明市,云南省,0.18,20200103
黔南布依族苗族自治州,贵州省,0.16,20200103
宁波市,浙江省,0.16,20200103
毕节市,贵州省,0.16,20200103
绍兴市,浙江省,0.15,20200103
广安市,四川省,0.15,20200103
株洲市,湖南省,0.14,20200103
揭阳市,广东省,0.14,20200103
威海市,山东省,0.14,20200103
衢州市,浙江省,0.13,20200103
福州市,福建省,21.82,20200104
泉州市,福建省,13.52,20200104
厦门市,福建省,12.02,20200104
南平市,福建省,11.14,20200104
龙岩市,福建省,7.92,20200104
漳州市,福建省,4.01,20200104
莆田市,福建省,3.05,20200104
赣州市,江西省,2.73,20200104
宁德市,福建省,2.4,20200104
抚州市,江西省,1.28,20200104
南昌市,江西省,0.95,20200104
上海市,上海市,0.88,20200104
重庆市,重庆市,0.63,20200104
深圳市,广东省,0.59,20200104
广州市,广东省,0.57,20200104
杭州市,浙江省,0.48,20200104
北京市,北京市,0.43,20200104
温州市,浙江省,0.43,20200104
上饶市,江西省,0.38,20200104
金华市,浙江省,0.35,20200104
东莞市,广东省,0.33,20200104
