city_name,province_name,value,date
兰州市,甘肃省,24.96,20200101
定西市,甘肃省,12.69,20200101
陇南市,甘肃省,12.68,20200101
西安市,陕西省,11.39,20200101
平凉市,甘肃省,7.27,20200101
宝鸡市,陕西省,5.54,20200101
咸阳市,陕西省,1.91,20200101
白银市,甘肃省,1.36,20200101
北京市,北京市,1.22,20200101
临夏回族自治州,甘肃省,1.03,20200101
西宁市,青海省,0.77,20200101
武威市,甘肃省,0.74,20200101
成都市,四川省,0.71,20200101
固原市,宁夏回族自治区,0.64,20200101
银川市,宁夏回族自治区,0.57,20200101
渭南市,陕西省,0.53,20200101
庆阳市,甘肃省,0.46,20200101
重庆市,重庆市,0.44,20200101
郑州市,河南省,0.43,20200101
上海市,上海市,0.42,20200101
苏州市,江苏省,0.38,20200101
乌鲁木齐市,新疆维吾尔自治区,0.38,20200101
天津市,天津市,0.36,20200101
南阳市,河南省,0.32,20200101
汉中市,陕西省,0.32,20200101
酒泉市,甘肃省,0.31,20200101
甘南藏族自治州,甘肃省,0.3,20200101
安康市,陕西省,0.3,20200101
张掖市,甘肃省,0.29,20200101
吴忠市,宁夏回族自治区,0.27,20200101
昆明市,云南省,0.24,20200101
绵阳市,四川省,0.23,20200101
保定市,河北省,0.2,20200101
驻马店市,河南省,0.2,20200101
广元市,四川省,0.2,20200101
杭州市,浙江省,0.2,20200101
金昌市,甘肃省,0.19,20200101
嘉峪关市,甘肃省,0.19,20200101
武汉市,湖北省,0.18,20200101
石家庄市,河北省,0.17,20200101
周口市,河南省,0.15,20200101
哈密市,新疆维吾尔自治区,0.15,20200101
洛阳市,河南省,0.15,20200101
海东市,青海省,0.15,20200101
深圳市,广东省,0.15,20200101
运城市,山西省,0.15,20200101
巴中市,四川省,0.15,20200101
商洛市,陕西省,0.14,20200101
中卫市,宁夏回族自治区,0.14,20200101
南充市,四川省,0.14,20200101
兰州市,甘肃省,25.75,20200102
陇南市,甘肃省,11.52,20200102
西安市,陕西省,11.09,20200102
定西市,甘肃省,8.62,20200102
平凉市,甘肃省,5.75,20200102
宝鸡市,陕西省,3.91,20200102
白银市,甘肃省,1.79,20200102
北京市,北京市,1.58,20200102
咸阳市,陕西省,1.36,20200102
西宁市,青海省,1.19,20200102
成都市,四川省,1.0,20200102
临夏回族自治州,甘肃省,1.0,20200102
庆阳市,甘肃省,0.94,20200102
武威市,甘肃省,0.88,20200102
银川市,宁夏回族自治区,0.79,20200102
乌鲁木齐市,新疆维吾尔自治区,0.71,20200102
张掖市,甘肃省,0.66,20200102
苏州市,江苏省,0.65,20200102
郑州市,河南省,0.6,20200102
固原市,宁夏回族自治区,0.56,20200102
上海市,上海市,0.56,20200102
重庆市,重庆市,0.54,20200102
甘南藏族自治州,甘肃省,0.48,20200102
汉中市,陕西省,0.47,20200102
酒泉市,甘肃省,0.44,20200102
渭南市,陕西省,0.4,20200102
广元市,四川省,0.35,20200102
武汉市,湖北省,0.32,20200102
商洛市,陕西省,0.32,20200102
洛阳市,河南省,0.31,20200102
天津市,天津市,0.28,20200102
广州市,广东省,0.28,20200102
三门峡市,河南省,0.28,20200102
安康市,陕西省,0.28,20200102
嘉峪关市,甘肃省,0.27,20200102
运城市,山西省,0.27,20200102
金昌市,甘肃省,0.26,20200102
巴中市,四川省,0.26,20200102
绵阳市,四川省,0.24,20200102
深圳市,广东省,0.22,20200102
周口市,河南省,0.22,20200102
南阳市,河南省,0.22,20200102
无锡市,江苏省,0.2,20200102
遂宁市,四川省,0.2,20200102
嘉兴市,浙江省,0.2,20200102
太原市,山西省,0.2,20200102
哈密市,新疆维吾尔自治区,0.19,20200102
商丘市,河南省,0.19,20200102
十堰市,湖北省,0.18,20200102
徐州市,江苏省,0.18,20200102
兰州市,甘肃省,25.02,20200103
陇南市,甘肃省,12.66,20200103
定西市,甘肃省,11.82,20200103
西安市,陕西省,11.15,20200103
平凉市,甘肃省,6.85,20200103
宝鸡市,陕西省,5.15,20200103
咸阳市,陕西省,1.74,20200103
白银市,甘肃省,1.69,20200103
北京市,北京市,1.1,20200103
临夏回族自治州,甘肃省,0.96,20200103
西宁市,青海省,0.91,20200103
庆阳市,甘肃省,0.77,20200103
成都市,四川省,0.77,20200103
武威市,甘肃省,0.66,20200103
银川市,宁夏回族自治区,0.65,20200103
上海市,上海市,0.54,20200103
渭南市,陕西省,0.5,20200103
乌鲁木齐市,新疆维吾尔自治区,0.49,20200103
固原市,宁夏回族自治区,0.48,20200103
苏州市,江苏省,0.47,20200103
重庆市,重庆市,0.45,20200103
汉中市,陕西省,0.44,20200103
甘南藏族自治州,甘肃省,0.42,20200103
郑州市,河南省,0.34,20200103
中卫市,宁夏回族自治区,0.3,20200103
广州市,广东省,0.28,20200103
酒泉市,甘肃省,0.28,20200103
天津市,天津市,0.25,20200103
杭州市,浙江省,0.23,20200103
张掖市,甘肃省,0.22,20200103
绵阳市,四川省,0.22,20200103
嘉峪关市,甘肃省,0.22,20200103
广元市,四川省,0.22,20200103
金昌市,甘肃省,0.2,20200103
武汉市,湖北省,0.2,20200103
十堰市,湖北省,0.19,20200103
南阳市,河南省,0.19,20200103
巴中市,四川省,0.19,20200103
长沙市,湖南省,0.18,20200103
深圳市,广东省,0.18,20200103
周口市,河南省,0.16,20200103
吴忠市,宁夏回族自治区,0.16,20200103
石家庄市,河北省,0.15,20200103
新乡市,河南省,0.15,20200103
自贡市,四川省,0.15,20200103
洛阳市,河南省,0.15,20200103
三门峡市,河南省,0.15,20200103
海东市,青海省,0.14,20200103
太原市,山西省,0.14,20200103
