city_name,province_name,value,date
太原市,山西省,19.69,20200101
晋城市,山西省,16.98,20200101
晋中市,山西省,11.06,20200101
安阳市,河南省,6.94,20200101
邯郸市,河北省,5.89,20200101
临汾市,山西省,5.39,20200101
吕梁市,山西省,2.77,20200101
北京市,北京市,2.58,20200101
郑州市,河南省,1.99,20200101
运城市,山西省,1.85,20200101
忻州市,山西省,1.4,20200101
新乡市,河南省,1.33,20200101
邢台市,河北省,1.22,20200101
焦作市,河南省,0.87,20200101
天津市,天津市,0.76,20200101
石家庄市,河北省,0.64,20200101
聊城市,山东省,0.63,20200101
日照市,山东省,0.59,20200101
西安市,陕西省,0.56,20200101
阳泉市,山西省,0.53,20200101
大同市,山西省,0.52,20200101
鹤壁市,河南省,0.46,20200101
洛阳市,河南省,0.44,20200101
保定市,河北省,0.43,20200101
徐州市,江苏省,0.43,20200101
朔州市,山西省,0.4,20200101
济宁市,山东省,0.39,20200101
唐山市,河北省,0.39,20200101
沧州市,河北省,0.38,20200101
周口市,河南省,0.35,20200101
菏泽市,山东省,0.34,20200101
商丘市,河南省,0.32,20200101
南阳市,河南省,0.32,20200101
泰安市,山东省,0.32,20200101
衡水市,河北省,0.31,20200101
上海市,上海市,0.31,20200101
临沂市,山东省,0.3,20200101
榆林市,陕西省,0.28,20200101
重庆市,重庆市,0.28,20200101
濮阳市,河南省,0.24,20200101
平顶山市,河南省,0.24,20200101
济南市,山东省,0.23,20200101
开封市,河南省,0.21,20200101
青岛市,山东省,0.21,20200101
滨州市,山东省,0.2,20200101
廊坊市,河北省,0.19,20200101
潍坊市,山东省,0.18,20200101
苏州市,江苏省,0.17,20200101
孝感市,湖北省,0.17,20200101
深圳市,广东省,0.17,20200101
太原市,山西省,21.06,20200102
晋城市,山西省,14.83,20200102
晋中市,山西省,9.14,20200102
临汾市,山西省,5.24,20200102
安阳市,河南省,4.32,20200102
邯郸市,河北省,3.53,20200102
吕梁市,山西省,2.9,20200102
北京市,北京市,2.83,20200102
运城市,山西省,2.4,20200102
郑州市,河南省,2.25,20200102
忻州市,山西省,1.93,20200102
大同市,山西省,1.23,20200102
新乡市,河南省,1.14,20200102
天津市,天津市,1.11,20200102
日照市,山东省,0.79,20200102
焦作市,河南省,0.77,20200102
阳泉市,山西省,0.71,20200102
西安市,陕西省,0.71,20200102
邢台市,河北省,0.63,20200102
洛阳市,河南省,0.6,20200102
朔州市,山西省,0.6,20200102
石家庄市,河北省,0.56,20200102
榆林市,陕西省,0.56,20200102
聊城市,山东省,0.55,20200102
徐州市,江苏省,0.52,20200102
保定市,河北省,0.48,20200102
唐山市,河北省,0.46,20200102
苏州市,江苏省,0.44,20200102
上海市,上海市,0.41,20200102
鹤壁市,河南省,0.39,20200102
济南市,山东省,0.37,20200102
沧州市,河北省,0.36,20200102
重庆市,重庆市,0.35,20200102
泰安市,山东省,0.32,20200102
商丘市,河南省,0.31,20200102
濮阳市,河南省,0.31,20200102
深圳市,广东省,0.31,20200102
临沂市,山东省,0.3,20200102
驻马店市,河南省,0.29,20200102
青岛市,山东省,0.29,20200102
渭南市,陕西省,0.29,20200102
周口市,河南省,0.26,20200102
菏泽市,山东省,0.25,20200102
芜湖市,安徽省,0.24,20200102
合肥市,安徽省,0.24,20200102
潍坊市,山东省,0.24,20200102
济宁市,山东省,0.23,20200102
开封市,河南省,0.23,20200102
三亚市,海南省,0.21,20200102
阜阳市,安徽省,0.21,20200102
太原市,山西省,20.95,20200103
晋城市,山西省,15.52,20200103
晋中市,山西省,9.55,20200103
临汾市,山西省,5.51,20200103
邯郸市,河北省,4.75,20200103
安阳市,河南省,4.56,20200103
吕梁市,山西省,2.89,20200103
运城市,山西省,2.74,20200103
北京市,北京市,2.53,20200103
郑州市,河南省,2.23,20200103
忻州市,山西省,1.76,20200103
大同市,山西省,1.22,20200103
新乡市,河南省,1.0,20200103
焦作市,河南省,0.89,20200103
朔州市,山西省,0.87,20200103
邢台市,河北省,0.84,20200103
石家庄市,河北省,0.78,20200103
聊城市,山东省,0.73,20200103
保定市,河北省,0.71,20200103
阳泉市,山西省,0.7,20200103
天津市,天津市,0.66,20200103
西安市,陕西省,0.56,20200103
日照市,山东省,0.55,20200103
洛阳市,河南省,0.52,20200103
鹤壁市,河南省,0.49,20200103
芜湖市,安徽省,0.45,20200103
上海市,上海市,0.42,20200103
榆林市,陕西省,0.37,20200103
徐州市,江苏省,0.37,20200103
廊坊市,河北省,0.37,20200103
商丘市,河南省,0.35,20200103
唐山市,河北省,0.35,20200103
深圳市,广东省,0.33,20200103
重庆市,重庆市,0.33,20200103
济南市,山东省,0.32,20200103
临沂市,山东省,0.29,20200103
南阳市,河南省,0.29,20200103
周口市,河南省,0.26,20200103
沧州市,河北省,0.26,20200103
菏泽市,山东省,0.24,20200103
济源市,河南省,0.24,20200103
绵阳市,四川省,0.24,20200103
湖州市,浙江省,0.23,20200103
三亚市,海南省,0.22,20200103
泰安市,山东省,0.22,20200103
驻马店市,河南省,0.21,20200103
苏州市,江苏省,0.21,20200103
濮阳市,河南省,0.21,20200103
济宁市,山东省,0.2,20200103
厦门市,福建省,0.2,20200103
太原市,山西省,19.04,20200104
晋城市,山西省,14.35,20200104
晋中市,山西省,11.07,20200104
邯郸市,河北省,6.31,20200104
临汾市,山西省,5.72,20200104
安阳市,河南省,5.09,20200104
吕梁市,山西省,3.34,20200104
北京市,北京市,2.96,20200104
郑州市,河南省,2.82,20200104
运城市,山西省,2.63,20200104
忻州市,山西省,1.64,20200104
大同市,山西省,1.36,20200104
邢台市,河北省,1.13,20200104
新乡市,河南省,1.09,20200104
焦作市,河南省,0.93,20200104
朔州市,山西省,0.91,20200104
阳泉市,山西省,0.88,20200104
石家庄市,河北省,0.77,20200104
西安市,陕西省,0.62,20200104
上海市,上海市,0.6,20200104
聊城市,山东省,0.6,20200104
天津市,天津市,0.55,20200104
洛阳市,河南省,0.53,20200104
商丘市,河南省,0.44,20200104
鹤壁市,河南省,0.39,20200104
保定市,河北省,0.38,20200104
苏州市,江苏省,0.33,20200104
濮阳市,河南省,0.28,20200104
衡水市,河北省,0.27,20200104
徐州市,江苏省,0.27,20200104
平顶山市,河南省,0.27,20200104
菏泽市,山东省,0.26,20200104
济南市,山东省,0.26,20200104
临沂市,山东省,0.25,20200104
沧州市,河北省,0.25,20200104
周口市,河南省,0.24,20200104
榆林市,陕西省,0.23,20200104
开封市,河南省,0.23,20200104
唐山市,河北省,0.22,20200104
武汉市,湖北省,0.22,20200104
驻马店市,河南省,0.21,20200104
青岛市,山东省,0.21,20200104
济宁市,山东省,0.21,20200104
廊坊市,河北省,0.2,20200104
日照市,山东省,0.2,20200104
济源市,河南省,0.19,20200104
泰安市,山东省,0.19,20200104
厦门市,福建省,0.19,20200104
渭南市,陕西省,0.18,20200104
重庆市,重庆市,0.18,20200104
太原市,山西省,22.48,20200105
晋城市,山西省,18.97,20200105
晋中市,山西省,8.61,20200105
北京市,北京市,4.71,20200105
邯郸市,河北省,4.19,20200105
临汾市,山西省,3.48,20200105
安阳市,河南省,2.9,20200105
郑州市,河南省,2.52,20200105
吕梁市,山西省,1.88,20200105
大同市,山西省,1.76,20200105
运城市,山西省,1.62,20200105
忻州市,山西省,1.47,20200105
新乡市,河南省,1.38,20200105
焦作市,河南省,1.35,20200105
朔州市,山西省,1.2,20200105
石家庄市,河北省,0.8,20200105
邢台市,河北省,0.73,20200105
西安市,陕西省,0.7,20200105
重庆市,重庆市,0.63,20200105
天津市,天津市,0.58,20200105
上海市,上海市,0.55,20200105
苏州市,江苏省,0.47,20200105
商丘市,河南省,0.41,20200105
武汉市,湖北省,0.38,20200105
濮阳市,河南省,0.37,20200105
洛阳市,河南省,0.37,20200105
大连市,辽宁省,0.35,20200105
徐州市,江苏省,0.32,20200105
周口市,河南省,0.32,20200105
长沙市,湖南省,0.31,20200105
阳泉市,山西省,0.31,20200105
聊城市,山东省,0.3,20200105
深圳市,广东省,0.3,20200105
南阳市,河南省,0.29,20200105
衡水市,河北省,0.29,20200105
保定市,河北省,0.29,20200105
沧州市,河北省,0.26,20200105
菏泽市,山东省,0.25,20200105
平顶山市,河南省,0.23,20200105
成都市,四川省,0.22,20200105
南京市,江苏省,0.21,20200105
廊坊市,河北省,0.19,20200105
鹤壁市,河南省,0.19,20200105
襄阳市,湖北省,0.19,20200105
安康市,陕西省,0.18,20200105
福州市,福建省,0.16,20200105
广州市,广东省,0.16,20200105
许昌市,河南省,0.16,20200105
合肥市,安徽省,0.16,20200105
渭南市,陕西省,0.16,20200105
太原市,山西省,23.72,20200106
晋城市,山西省,14.27,20200106
晋中市,山西省,8.38,20200106
临汾市,山西省,5.06,20200106
邯郸市,河北省,4.03,20200106
北京市,北京市,3.71,20200106
安阳市,河南省,3.68,20200106
郑州市,河南省,2.92,20200106
吕梁市,山西省,2.44,20200106
运城市,山西省,2.27,20200106
邢台市,河北省,1.78,20200106
新乡市,河南省,1.78,20200106
忻州市,山西省,1.44,20200106
大同市,山西省,1.27,20200106
焦作市,河南省,1.2,20200106
石家庄市,河北省,0.82,20200106
西安市,陕西省,0.79,20200106
朔州市,山西省,0.78,20200106
聊城市,山东省,0.7,20200106
上海市,上海市,0.57,20200106
阳泉市,山西省,0.55,20200106
商丘市,河南省,0.55,20200106
天津市,天津市,0.55,20200106
洛阳市,河南省,0.53,20200106
重庆市,重庆市,0.47,20200106
保定市,河北省,0.47,20200106
苏州市,江苏省,0.45,20200106
衡水市,河北省,0.44,20200106
濮阳市,河南省,0.32,20200106
鹤壁市,河南省,0.32,20200106
武汉市,湖北省,0.31,20200106
唐山市,河北省,0.3,20200106
广州市,广东省,0.29,20200106
周口市,河南省,0.29,20200106
徐州市,江苏省,0.29,20200106
沧州市,河北省,0.27,20200106
开封市,河南省,0.24,20200106
许昌市,河南省,0.23,20200106
成都市,四川省,0.23,20200106
渭南市,陕西省,0.23,20200106
杭州市,浙江省,0.22,20200106
廊坊市,河北省,0.21,20200106
日照市,山东省,0.19,20200106
南阳市,河南省,0.19,20200106
平顶山市,河南省,0.19,20200106
