city_name,province_name,value,date
哈尔滨市,黑龙江省,36.36,20200101
绥化市,黑龙江省,21.69,20200101
佳木斯市,黑龙江省,13.38,20200101
鹤岗市,黑龙江省,4.05,20200101
黑河市,黑龙江省,3.12,20200101
北京市,北京市,2.1,20200101
大庆市,黑龙江省,1.91,20200101
齐齐哈尔市,黑龙江省,1.4,20200101
长春市,吉林省,1.36,20200101
牡丹江市,黑龙江省,1.24,20200101
沈阳市,辽宁省,1.17,20200101
双鸭山市,黑龙江省,1.01,20200101
大连市,辽宁省,0.7,20200101
呼伦贝尔市,内蒙古自治区,0.54,20200101
鸡西市,黑龙江省,0.5,20200101
七台河市,黑龙江省,0.5,20200101
青岛市,山东省,0.46,20200101
天津市,天津市,0.42,20200101
铁岭市,辽宁省,0.35,20200101
葫芦岛市,辽宁省,0.35,20200101
廊坊市,河北省,0.35,20200101
上海市,上海市,0.31,20200101
潍坊市,山东省,0.23,20200101
鞍山市,辽宁省,0.23,20200101
松原市,吉林省,0.23,20200101
济南市,山东省,0.19,20200101
延边朝鲜族自治州,吉林省,0.19,20200101
秦皇岛市,河北省,0.19,20200101
沧州市,河北省,0.15,20200101
三亚市,海南省,0.15,20200101
辽阳市,辽宁省,0.15,20200101
锡林郭勒盟,内蒙古自治区,0.15,20200101
烟台市,山东省,0.15,20200101
西安市,陕西省,0.15,20200101
泉州市,福建省,0.11,20200101
盐城市,江苏省,0.11,20200101
杭州市,浙江省,0.11,20200101
海口市,海南省,0.11,20200101
盘锦市,辽宁省,0.11,20200101
石家庄市,河北省,0.11,20200101
威海市,山东省,0.11,20200101
朝阳市,辽宁省,0.11,20200101
济宁市,山东省,0.11,20200101
中山市,广东省,0.11,20200101
四平市,吉林省,0.11,20200101
呼和浩特市,内蒙古自治区,0.07,20200101
重庆市,重庆市,0.07,20200101
本溪市,辽宁省,0.07,20200101
咸阳市,陕西省,0.07,20200101
阜新市,辽宁省,0.07,20200101
哈尔滨市,黑龙江省,44.73,20200102
绥化市,黑龙江省,15.05,20200102
佳木斯市,黑龙江省,9.29,20200102
鹤岗市,黑龙江省,2.62,20200102
北京市,北京市,2.58,20200102
黑河市,黑龙江省,2.29,20200102
大庆市,黑龙江省,1.78,20200102
齐齐哈尔市,黑龙江省,1.68,20200102
长春市,吉林省,1.65,20200102
沈阳市,辽宁省,1.35,20200102
牡丹江市,黑龙江省,1.23,20200102
大连市,辽宁省,1.1,20200102
双鸭山市,黑龙江省,1.03,20200102
秦皇岛市,河北省,0.77,20200102
吉林市,吉林省,0.67,20200102
天津市,天津市,0.64,20200102
青岛市,山东省,0.58,20200102
呼伦贝尔市,内蒙古自治区,0.48,20200102
三亚市,海南省,0.48,20200102
鸡西市,黑龙江省,0.45,20200102
廊坊市,河北省,0.42,20200102
松原市,吉林省,0.38,20200102
烟台市,山东省,0.35,20200102
营口市,辽宁省,0.32,20200102
七台河市,黑龙江省,0.32,20200102
唐山市,河北省,0.29,20200102
抚顺市,辽宁省,0.25,20200102
延边朝鲜族自治州,吉林省,0.25,20200102
盘锦市,辽宁省,0.25,20200102
四平市,吉林省,0.25,20200102
威海市,山东省,0.25,20200102
上海市,上海市,0.22,20200102
潍坊市,山东省,0.22,20200102
海口市,海南省,0.22,20200102
聊城市,山东省,0.22,20200102
