city_name,province_name,value,date
锦州市,辽宁省,25.87,20200101
鞍山市,辽宁省,16.51,20200101
沈阳市,辽宁省,15.97,20200101
营口市,辽宁省,13.09,20200101
大连市,辽宁省,3.66,20200101
葫芦岛市,辽宁省,2.4,20200101
北京市,北京市,2.22,20200101
朝阳市,辽宁省,2.19,20200101
辽阳市,辽宁省,1.85,20200101
阜新市,辽宁省,1.27,20200101
铁岭市,辽宁省,0.95,20200101
赤峰市,内蒙古自治区,0.91,20200101
抚顺市,辽宁省,0.67,20200101
天津市,天津市,0.66,20200101
长春市,吉林省,0.66,20200101
哈尔滨市,黑龙江省,0.58,20200101
通辽市,内蒙古自治区,0.49,20200101
唐山市,河北省,0.42,20200101
丹东市,辽宁省,0.4,20200101
本溪市,辽宁省,0.37,20200101
吉林市,吉林省,0.37,20200101
秦皇岛市,河北省,0.33,20200101
齐齐哈尔市,黑龙江省,0.29,20200101
大庆市,黑龙江省,0.24,20200101
沧州市,河北省,0.24,20200101
四平市,吉林省,0.21,20200101
绥化市,黑龙江省,0.19,20200101
保定市,河北省,0.19,20200101
松原市,吉林省,0.18,20200101
潍坊市,山东省,0.18,20200101
通化市,吉林省,0.16,20200101
江门市,广东省,0.15,20200101
廊坊市,河北省,0.14,20200101
鄂尔多斯市,内蒙古自治区,0.13,20200101
承德市,河北省,0.13,20200101
泰安市,山东省,0.13,20200101
邯郸市,河北省,0.12,20200101
西安市,陕西省,0.12,20200101
石家庄市,河北省,0.12,20200101
南京市,江苏省,0.11,20200101
广州市,广东省,0.11,20200101
滨州市,山东省,0.1,20200101
辽源市,吉林省,0.1,20200101
成都市,四川省,0.1,20200101
白城市,吉林省,0.09,20200101
烟台市,山东省,0.09,20200101
衡水市,河北省,0.09,20200101
济南市,山东省,0.09,20200101
上海市,上海市,0.09,20200101
新乡市,河南省,0.08,20200101
沈阳市,辽宁省,20.12,20200102
锦州市,辽宁省,18.54,20200102
鞍山市,辽宁省,9.78,20200102
营口市,辽宁省,8.92,20200102
大连市,辽宁省,5.5,20200102
北京市,北京市,3.34,20200102
朝阳市,辽宁省,2.92,20200102
葫芦岛市,辽宁省,2.56,20200102
辽阳市,辽宁省,1.73,20200102
赤峰市,内蒙古自治区,1.49,20200102
阜新市,辽宁省,1.45,20200102
铁岭市,辽宁省,1.18,20200102
哈尔滨市,黑龙江省,1.1,20200102
天津市,天津市,1.03,20200102
唐山市,河北省,1.0,20200102
通辽市,内蒙古自治区,0.96,20200102
长春市,吉林省,0.88,20200102
抚顺市,辽宁省,0.69,20200102
吉林市,吉林省,0.68,20200102
秦皇岛市,河北省,0.66,20200102
丹东市,辽宁省,0.56,20200102
本溪市,辽宁省,0.47,20200102
绥化市,黑龙江省,0.46,20200102
大庆市,黑龙江省,0.44,20200102
保定市,河北省,0.39,20200102
四平市,吉林省,0.34,20200102
石家庄市,河北省,0.34,20200102
廊坊市,河北省,0.33,20200102
齐齐哈尔市,黑龙江省,0.33,20200102
沧州市,河北省,0.31,20200102
呼伦贝尔市,内蒙古自治区,0.31,20200102
潍坊市,山东省,0.3,20200102
通化市,吉林省,0.28,20200102
鄂尔多斯市,内蒙古自治区,0.26,20200102
德州市,山东省,0.23,20200102
成都市,四川省,0.21,20200102
承德市,河北省,0.21,20200102
松原市,吉林省,0.19,20200102
上海市,上海市,0.19,20200102
东营市,山东省,0.18,20200102
济宁市,山东省,0.18,20200102
延边朝鲜族自治州,吉林省,0.17,20200102
淄博市,山东省,0.17,20200102
牡丹江市,黑龙江省,0.17,20200102
邯郸市,河北省,0.17,20200102
南京市,江苏省,0.15,20200102
烟台市,山东省,0.15,20200102
郑州市,河南省,0.15,20200102
徐州市,江苏省,0.15,20200102
广州市,广东省,0.14,20200102
锦州市,辽宁省,21.54,20200103
沈阳市,辽宁省,17.34,20200103
营口市,辽宁省,13.66,20200103
鞍山市,辽宁省,10.89,20200103
大连市,辽宁省,5.43,20200103
朝阳市,辽宁省,3.04,20200103
葫芦岛市,辽宁省,2.74,20200103
北京市,北京市,2.6,20200103
辽阳市,辽宁省,1.69,20200103
阜新市,辽宁省,1.26,20200103
通辽市,内蒙古自治区,1.17,20200103
铁岭市,辽宁省,1.07,20200103
赤峰市,内蒙古自治区,1.07,20200103
哈尔滨市,黑龙江省,1.0,20200103
抚顺市,辽宁省,0.92,20200103
天津市,天津市,0.89,20200103
丹东市,辽宁省,0.85,20200103
长春市,吉林省,0.77,20200103
本溪市,辽宁省,0.6,20200103
唐山市,河北省,0.55,20200103
吉林市,吉林省,0.39,20200103
秦皇岛市,河北省,0.35,20200103
四平市,吉林省,0.34,20200103
承德市,河北省,0.32,20200103
沧州市,河北省,0.28,20200103
绥化市,黑龙江省,0.24,20200103
上海市,上海市,0.22,20200103
保定市,河北省,0.21,20200103
通化市,吉林省,0.2,20200103
大庆市,黑龙江省,0.19,20200103
廊坊市,河北省,0.19,20200103
松原市,吉林省,0.18,20200103
临沂市,山东省,0.18,20200103
东营市,山东省,0.17,20200103
石家庄市,河北省,0.17,20200103
齐齐哈尔市,黑龙江省,0.16,20200103
呼伦贝尔市,内蒙古自治区,0.16,20200103
潍坊市,山东省,0.16,20200103
三亚市,海南省,0.16,20200103
成都市,四川省,0.15,20200103
淄博市,山东省,0.14,20200103
延边朝鲜族自治州,吉林省,0.14,20200103
辽源市,吉林省,0.13,20200103
张家口市,河北省,0.13,20200103
白城市,吉林省,0.13,20200103
鄂尔多斯市,内蒙古自治区,0.13,20200103
滨州市,山东省,0.13,20200103
济宁市,山东省,0.12,20200103
广州市,广东省,0.11,20200103
青岛市,山东省,0.11,20200103
锦州市,辽宁省,23.83,20200104
沈阳市,辽宁省,16.75,20200104
营口市,辽宁省,12.83,20200104
鞍山市,辽宁省,12.79,20200104
大连市,辽宁省,4.13,20200104
朝阳市,辽宁省,2.64,20200104
北京市,北京市,2.47,20200104
葫芦岛市,辽宁省,2.36,20200104
辽阳市,辽宁省,2.24,20200104
阜新市,辽宁省,1.35,20200104
铁岭市,辽宁省,1.0,20200104
赤峰市,内蒙古自治区,0.84,20200104
哈尔滨市,黑龙江省,0.81,20200104
天津市,天津市,0.79,20200104
抚顺市,辽宁省,0.77,20200104
通辽市,内蒙古自治区,0.73,20200104
长春市,吉林省,0.7,20200104
丹东市,辽宁省,0.66,20200104
唐山市,河北省,0.47,20200104
秦皇岛市,河北省,0.47,20200104
吉林市,吉林省,0.45,20200104
绥化市,黑龙江省,0.42,20200104
本溪市,辽宁省,0.42,20200104
四平市,吉林省,0.4,20200104
松原市,吉林省,0.31,20200104
沧州市,河北省,0.28,20200104
