city_name,province_name,value,date
洛阳市,河南省,30.36,20200101
郑州市,河南省,15.9,20200101
运城市,山西省,11.52,20200101
西安市,陕西省,6.56,20200101
渭南市,陕西省,3.74,20200101
南阳市,河南省,2.67,20200101
焦作市,河南省,1.73,20200101
新乡市,河南省,1.4,20200101
平顶山市,河南省,1.32,20200101
商洛市,陕西省,1.18,20200101
咸阳市,陕西省,1.01,20200101
北京市,北京市,0.93,20200101
临汾市,山西省,0.91,20200101
商丘市,河南省,0.91,20200101
开封市,河南省,0.84,20200101
许昌市,河南省,0.7,20200101
周口市,河南省,0.64,20200101
苏州市,江苏省,0.52,20200101
上海市,上海市,0.49,20200101
驻马店市,河南省,0.47,20200101
安阳市,河南省,0.46,20200101
济源市,河南省,0.45,20200101
宝鸡市,陕西省,0.39,20200101
菏泽市,山东省,0.39,20200101
汉中市,陕西省,0.38,20200101
十堰市,湖北省,0.38,20200101
武汉市,湖北省,0.36,20200101
信阳市,河南省,0.36,20200101
延安市,陕西省,0.31,20200101
榆林市,陕西省,0.31,20200101
襄阳市,湖北省,0.3,20200101
晋中市,山西省,0.3,20200101
成都市,四川省,0.29,20200101
漯河市,河南省,0.26,20200101
南充市,四川省,0.26,20200101
重庆市,重庆市,0.25,20200101
晋城市,山西省,0.25,20200101
徐州市,江苏省,0.22,20200101
石家庄市,河北省,0.21,20200101
安康市,陕西省,0.2,20200101
广州市,广东省,0.2,20200101
昌吉回族自治州,新疆维吾尔自治区,0.19,20200101
杭州市,浙江省,0.18,20200101
阜阳市,安徽省,0.18,20200101
深圳市,广东省,0.18,20200101
吕梁市,山西省,0.18,20200101
太原市,山西省,0.18,20200101
邯郸市,河北省,0.16,20200101
济南市,山东省,0.16,20200101
濮阳市,河南省,0.16,20200101
洛阳市,河南省,22.64,20200102
郑州市,河南省,18.15,20200102
西安市,陕西省,6.83,20200102
运城市,山西省,6.45,20200102
南阳市,河南省,3.05,20200102
渭南市,陕西省,2.35,20200102
北京市,北京市,2.09,20200102
平顶山市,河南省,1.54,20200102
新乡市,河南省,1.45,20200102
商丘市,河南省,1.35,20200102
驻马店市,河南省,1.3,20200102
商洛市,陕西省,1.24,20200102
周口市,河南省,1.23,20200102
焦作市,河南省,1.13,20200102
许昌市,河南省,1.12,20200102
开封市,河南省,1.06,20200102
咸阳市,陕西省,0.98,20200102
安阳市,河南省,0.9,20200102
苏州市,江苏省,0.83,20200102
临汾市,山西省,0.64,20200102
昌吉回族自治州,新疆维吾尔自治区,0.6,20200102
成都市,四川省,0.6,20200102
重庆市,重庆市,0.6,20200102
信阳市,河南省,0.59,20200102
上海市,上海市,0.59,20200102
南充市,四川省,0.51,20200102
吕梁市,山西省,0.49,20200102
延安市,陕西省,0.48,20200102
汉中市,陕西省,0.46,20200102
济源市,河南省,0.45,20200102
杭州市,浙江省,0.44,20200102
漯河市,河南省,0.41,20200102
宝鸡市,陕西省,0.4,20200102
徐州市,江苏省,0.38,20200102
菏泽市,山东省,0.35,20200102
榆林市,陕西省,0.35,20200102
安康市,陕西省,0.34,20200102
襄阳市,湖北省,0.34,20200102
中卫市,宁夏回族自治区,0.33,20200102
十堰市,湖北省,0.33,20200102
武汉市,湖北省,0.3,20200102
巴中市,四川省,0.27,20200102
晋中市,山西省,0.27,20200102
濮阳市,河南省,0.26,20200102
天水市,甘肃省,0.26,20200102
宜昌市,湖北省,0.26,20200102
桂林市,广西壮族自治区,0.25,20200102
鹤壁市,河南省,0.24,20200102
太原市,山西省,0.22,20200102
