city_name,province_name,value,date
杭州市,浙江省,18.02,20200101
合肥市,安徽省,10.53,20200101
宣城市,安徽省,10.52,20200101
上海市,上海市,6.03,20200101
湖州市,浙江省,4.82,20200101
芜湖市,安徽省,3.66,20200101
池州市,安徽省,3.16,20200101
金华市,浙江省,2.97,20200101
苏州市,江苏省,2.3,20200101
南京市,江苏省,1.96,20200101
铜陵市,安徽省,1.89,20200101
上饶市,江西省,1.89,20200101
景德镇市,江西省,1.83,20200101
宁波市,浙江省,1.71,20200101
嘉兴市,浙江省,1.61,20200101
安庆市,安徽省,1.61,20200101
衢州市,浙江省,1.34,20200101
绍兴市,浙江省,1.09,20200101
阜阳市,安徽省,1.05,20200101
温州市,浙江省,0.93,20200101
无锡市,江苏省,0.89,20200101
北京市,北京市,0.8,20200101
马鞍山市,安徽省,0.65,20200101
亳州市,安徽省,0.64,20200101
宿州市,安徽省,0.64,20200101
武汉市,湖北省,0.6,20200101
济南市,山东省,0.58,20200101
常州市,江苏省,0.52,20200101
六安市,安徽省,0.49,20200101
九江市,江西省,0.49,20200101
蚌埠市,安徽省,0.48,20200101
淮南市,安徽省,0.48,20200101
南昌市,江西省,0.46,20200101
台州市,浙江省,0.45,20200101
滁州市,安徽省,0.42,20200101
淄博市,山东省,0.42,20200101
徐州市,江苏省,0.39,20200101
郑州市,河南省,0.35,20200101
厦门市,福建省,0.33,20200101
丽水市,浙江省,0.33,20200101
广州市,广东省,0.3,20200101
南通市,江苏省,0.29,20200101
天津市,天津市,0.27,20200101
潍坊市,山东省,0.26,20200101
深圳市,广东省,0.24,20200101
福州市,福建省,0.24,20200101
扬州市,江苏省,0.24,20200101
临沂市,山东省,0.23,20200101
泉州市,福建省,0.21,20200101
南平市,福建省,0.2,20200101
合肥市,安徽省,13.5,20200102
杭州市,浙江省,12.48,20200102
上海市,上海市,6.48,20200102
湖州市,浙江省,5.68,20200102
宣城市,安徽省,4.77,20200102
芜湖市,安徽省,3.42,20200102
金华市,浙江省,2.78,20200102
南京市,江苏省,2.33,20200102
苏州市,江苏省,2.06,20200102
池州市,安徽省,2.01,20200102
宁波市,浙江省,1.79,20200102
嘉兴市,浙江省,1.73,20200102
