city_name,province_name,value,date
衡阳市,湖南省,14.25,20200101
长沙市,湖南省,13.18,20200101
韶关市,广东省,9.52,20200101
永州市,湖南省,9.27,20200101
广州市,广东省,8.18,20200101
东莞市,广东省,5.72,20200101
株洲市,湖南省,5.11,20200101
深圳市,广东省,4.15,20200101
清远市,广东省,3.62,20200101
佛山市,广东省,2.21,20200101
赣州市,江西省,1.68,20200101
邵阳市,湖南省,1.39,20200101
吉安市,江西省,1.3,20200101
中山市,广东省,1.13,20200101
惠州市,广东省,1.12,20200101
湘潭市,湖南省,1.1,20200101
娄底市,湖南省,1.03,20200101
岳阳市,湖南省,0.79,20200101
珠海市,广东省,0.65,20200101
益阳市,湖南省,0.62,20200101
常德市,湖南省,0.6,20200101
怀化市,湖南省,0.54,20200101
桂林市,广西壮族自治区,0.52,20200101
肇庆市,广东省,0.46,20200101
北京市,北京市,0.46,20200101
武汉市,湖北省,0.4,20200101
江门市,广东省,0.32,20200101
重庆市,重庆市,0.3,20200101
湘西土家族苗族自治州,湖南省,0.3,20200101
萍乡市,江西省,0.26,20200101
贺州市,广西壮族自治区,0.25,20200101
福州市,福建省,0.24,20200101
香港,香港,0.23,20200101
梧州市,广西壮族自治区,0.21,20200101
宜春市,江西省,0.2,20200101
南昌市,江西省,0.18,20200101
上海市,上海市,0.18,20200101
张家界市,湖南省,0.17,20200101
金华市,浙江省,0.15,20200101
杭州市,浙江省,0.15,20200101
河源市,广东省,0.14,20200101
南宁市,广西壮族自治区,0.13,20200101
茂名市,广东省,0.13,20200101
郑州市,河南省,0.13,20200101
澳门,澳门,0.13,20200101
梅州市,广东省,0.13,20200101
宜昌市,湖北省,0.13,20200101
贵阳市,贵州省,0.13,20200101
阳江市,广东省,0.11,20200101
揭阳市,广东省,0.11,20200101
长沙市,湖南省,15.19,20200102
衡阳市,湖南省,11.76,20200102
广州市,广东省,8.27,20200102
永州市,湖南省,7.25,20200102
东莞市,广东省,6.61,20200102
韶关市,广东省,6.06,20200102
株洲市,湖南省,4.46,20200102
深圳市,广东省,3.99,20200102
清远市,广东省,2.97,20200102
佛山市,广东省,2.72,20200102
娄底市,湖南省,1.53,20200102
邵阳市,湖南省,1.45,20200102
赣州市,江西省,1.38,20200102
湘潭市,湖南省,1.32,20200102
岳阳市,湖南省,1.2,20200102
中山市,广东省,1.07,20200102
惠州市,广东省,1.06,20200102
北京市,北京市,0.91,20200102
怀化市,湖南省,0.74,20200102
益阳市,湖南省,0.67,20200102
武汉市,湖北省,0.66,20200102
常德市,湖南省,0.65,20200102
重庆市,重庆市,0.65,20200102
吉安市,江西省,0.63,20200102
珠海市,广东省,0.59,20200102
桂林市,广西壮族自治区,0.55,20200102
肇庆市,广东省,0.42,20200102
杭州市,浙江省,0.41,20200102
江门市,广东省,0.41,20200102
湘西土家族苗族自治州,湖南省,0.38,20200102
萍乡市,江西省,0.35,20200102
福州市,福建省,0.31,20200102
梧州市,广西壮族自治区,0.3,20200102
南宁市,广西壮族自治区,0.29,20200102
上海市,上海市,0.27,20200102
宜春市,江西省,0.25,20200102
澳门,澳门,0.24,20200102
香港,香港,0.23,20200102
张家界市,湖南省,0.22,20200102
柳州市,广西壮族自治区,0.21,20200102
成都市,四川省,0.21,20200102
贺州市,广西壮族自治区,0.21,20200102
南昌市,江西省,0.19,20200102
河源市,广东省,0.19,20200102
孝感市,湖北省,0.18,20200102
揭阳市,广东省,0.18,20200102
汕尾市,广东省,0.18,20200102
金华市,浙江省,0.17,20200102
汕头市,广东省,0.16,20200102
昆明市,云南省,0.16,20200102
长沙市,湖南省,18.68,20200103
衡阳市,湖南省,12.63,20200103
永州市,湖南省,8.03,20200103
广州市,广东省,6.99,20200103
韶关市,广东省,6.23,20200103
株洲市,湖南省,5.13,20200103
东莞市,广东省,4.81,20200103
深圳市,广东省,3.46,20200103
清远市,广东省,2.99,20200103
佛山市,广东省,2.39,20200103
邵阳市,湖南省,1.71,20200103
湘潭市,湖南省,1.57,20200103
赣州市,江西省,1.51,20200103
娄底市,湖南省,1.13,20200103
怀化市,湖南省,1.06,20200103
中山市,广东省,1.06,20200103
岳阳市,湖南省,1.02,20200103
惠州市,广东省,0.99,20200103
常德市,湖南省,0.92,20200103
吉安市,江西省,0.79,20200103
益阳市,湖南省,0.75,20200103
珠海市,广东省,0.73,20200103
北京市,北京市,0.64,20200103
桂林市,广西壮族自治区,0.58,20200103
武汉市,湖北省,0.47,20200103
重庆市,重庆市,0.46,20200103
江门市,广东省,0.43,20200103
澳门,澳门,0.38,20200103
