city_name,province_name,value,date
朝阳市,辽宁省,18.77,20200101
通辽市,内蒙古自治区,13.64,20200101
北京市,北京市,11.69,20200101
锡林郭勒盟,内蒙古自治区,8.16,20200101
承德市,河北省,7.69,20200101
沈阳市,辽宁省,4.39,20200101
呼和浩特市,内蒙古自治区,4.05,20200101
天津市,天津市,2.31,20200101
唐山市,河北省,2.28,20200101
锦州市,辽宁省,1.56,20200101
廊坊市,河北省,1.56,20200101
乌兰察布市,内蒙古自治区,1.51,20200101
兴安盟,内蒙古自治区,1.32,20200101
保定市,河北省,1.02,20200101
长春市,吉林省,0.94,20200101
大连市,辽宁省,0.88,20200101
包头市,内蒙古自治区,0.86,20200101
阜新市,辽宁省,0.84,20200101
葫芦岛市,辽宁省,0.79,20200101
哈尔滨市,黑龙江省,0.71,20200101
盘锦市,辽宁省,0.71,20200101
呼伦贝尔市,内蒙古自治区,0.67,20200101
沧州市,河北省,0.64,20200101
鞍山市,辽宁省,0.48,20200101
张家口市,河北省,0.43,20200101
秦皇岛市,河北省,0.43,20200101
鄂尔多斯市,内蒙古自治区,0.42,20200101
石家庄市,河北省,0.4,20200101
辽阳市,辽宁省,0.4,20200101
营口市,辽宁省,0.32,20200101
上海市,上海市,0.29,20200101
滨州市,山东省,0.26,20200101
齐齐哈尔市,黑龙江省,0.26,20200101
白城市,吉林省,0.24,20200101
郑州市,河南省,0.22,20200101
松原市,吉林省,0.22,20200101
济宁市,山东省,0.22,20200101
丹东市,辽宁省,0.21,20200101
济南市,山东省,0.2,20200101
铁岭市,辽宁省,0.2,20200101
巴彦淖尔市,内蒙古自治区,0.18,20200101
四平市,吉林省,0.17,20200101
抚顺市,辽宁省,0.16,20200101
重庆市,重庆市,0.15,20200101
西安市,陕西省,0.15,20200101
吉林市,吉林省,0.15,20200101
邯郸市,河北省,0.14,20200101
临沂市,山东省,0.14,20200101
邢台市,河北省,0.13,20200101
通化市,吉林省,0.13,20200101
北京市,北京市,13.05,20200102
通辽市,内蒙古自治区,11.36,20200102
朝阳市,辽宁省,10.89,20200102
锡林郭勒盟,内蒙古自治区,8.34,20200102
呼和浩特市,内蒙古自治区,6.43,20200102
承德市,河北省,5.13,20200102
沈阳市,辽宁省,4.98,20200102
天津市,天津市,2.86,20200102
唐山市,河北省,2.67,20200102
锦州市,辽宁省,1.64,20200102
廊坊市,河北省,1.64,20200102
兴安盟,内蒙古自治区,1.52,20200102
包头市,内蒙古自治区,1.49,20200102
保定市,河北省,1.37,20200102
大连市,辽宁省,1.32,20200102
呼伦贝尔市,内蒙古自治区,1.21,20200102
乌兰察布市,内蒙古自治区,1.1,20200102
哈尔滨市,黑龙江省,0.99,20200102
沧州市,河北省,0.98,20200102
长春市,吉林省,0.96,20200102
石家庄市,河北省,0.83,20200102
盘锦市,辽宁省,0.8,20200102
阜新市,辽宁省,0.75,20200102
葫芦岛市,辽宁省,0.69,20200102
鄂尔多斯市,内蒙古自治区,0.62,20200102
营口市,辽宁省,0.55,20200102
张家口市,河北省,0.5,20200102
潍坊市,山东省,0.47,20200102
秦皇岛市,河北省,0.45,20200102
德州市,山东省,0.44,20200102
郑州市,河南省,0.39,20200102
济南市,山东省,0.37,20200102
巴彦淖尔市,内蒙古自治区,0.36,20200102
鞍山市,辽宁省,0.35,20200102
铁岭市,辽宁省,0.35,20200102
四平市,吉林省,0.31,20200102
松原市,吉林省,0.29,20200102
齐齐哈尔市,黑龙江省,0.28,20200102
烟台市,山东省,0.26,20200102
青岛市,山东省,0.25,20200102
白城市,吉林省,0.24,20200102
上海市,上海市,0.24,20200102
滨州市,山东省,0.24,20200102
深圳市,广东省,0.22,20200102
吉林市,吉林省,0.21,20200102
杭州市,浙江省,0.21,20200102
辽阳市,辽宁省,0.2,20200102
丹东市,辽宁省,0.2,20200102
聊城市,山东省,0.2,20200102
乌海市,内蒙古自治区,0.18,20200102
朝阳市,辽宁省,16.22,20200103
通辽市,内蒙古自治区,13.56,20200103
北京市,北京市,11.1,20200103
锡林郭勒盟,内蒙古自治区,7.9,20200103
承德市,河北省,6.72,20200103
呼和浩特市,内蒙古自治区,5.1,20200103
沈阳市,辽宁省,4.07,20200103
天津市,天津市,2.94,20200103
唐山市,河北省,2.27,20200103
锦州市,辽宁省,1.9,20200103
廊坊市,河北省,1.47,20200103
兴安盟,内蒙古自治区,1.38,20200103
乌兰察布市,内蒙古自治区,1.08,20200103
包头市,内蒙古自治区,1.06,20200103
大连市,辽宁省,1.01,20200103
保定市,河北省,0.93,20200103
哈尔滨市,黑龙江省,0.87,20200103
盘锦市,辽宁省,0.85,20200103
沧州市,河北省,0.85,20200103
葫芦岛市,辽宁省,0.8,20200103
呼伦贝尔市,内蒙古自治区,0.78,20200103
张家口市,河北省,0.72,20200103
鄂尔多斯市,内蒙古自治区,0.69,20200103
鞍山市,辽宁省,0.65,20200103
阜新市,辽宁省,0.65,20200103
长春市,吉林省,0.62,20200103
营口市,辽宁省,0.56,20200103
石家庄市,河北省,0.49,20200103
秦皇岛市,河北省,0.49,20200103
齐齐哈尔市,黑龙江省,0.34,20200103
松原市,吉林省,0.33,20200103
上海市,上海市,0.31,20200103
辽阳市,辽宁省,0.31,20200103
巴彦淖尔市,内蒙古自治区,0.3,20200103
郑州市,河南省,0.3,20200103
滨州市,山东省,0.27,20200103
潍坊市,山东省,0.26,20200103
济南市,山东省,0.26,20200103
抚顺市,辽宁省,0.23,20200103
西安市,陕西省,0.23,20200103
杭州市,浙江省,0.22,20200103
四平市,吉林省,0.21,20200103
南京市,江苏省,0.21,20200103
武汉市,湖北省,0.21,20200103
德州市,山东省,0.2,20200103
邯郸市,河北省,0.2,20200103
白城市,吉林省,0.19,20200103
铁岭市,辽宁省,0.19,20200103
临沂市,山东省,0.18,20200103
丹东市,辽宁省,0.18,20200103
朝阳市,辽宁省,17.09,20200104
通辽市,内蒙古自治区,14.26,20200104
北京市,北京市,10.92,20200104
锡林郭勒盟,内蒙古自治区,7.74,20200104
承德市,河北省,6.84,20200104
呼和浩特市,内蒙古自治区,4.69,20200104
沈阳市,辽宁省,3.7,20200104
唐山市,河北省,2.28,20200104
天津市,天津市,2.2,20200104
锦州市,辽宁省,1.87,20200104
兴安盟,内蒙古自治区,1.45,20200104
乌兰察布市,内蒙古自治区,1.35,20200104
廊坊市,河北省,1.17,20200104
呼伦贝尔市,内蒙古自治区,1.15,20200104
保定市,河北省,1.02,20200104
长春市,吉林省,0.8,20200104
包头市,内蒙古自治区,0.8,20200104
大连市,辽宁省,0.78,20200104
葫芦岛市,辽宁省,0.76,20200104
鄂尔多斯市,内蒙古自治区,0.68,20200104
张家口市,河北省,0.64,20200104
石家庄市,河北省,0.62,20200104
阜新市,辽宁省,0.62,20200104
沧州市,河北省,0.6,20200104
哈尔滨市,黑龙江省,0.54,20200104
盘锦市,辽宁省,0.52,20200104
秦皇岛市,河北省,0.51,20200104
上海市,上海市,0.49,20200104
辽阳市,辽宁省,0.47,20200104
鞍山市,辽宁省,0.46,20200104
营口市,辽宁省,0.42,20200104
济南市,山东省,0.3,20200104
松原市,吉林省,0.3,20200104
郑州市,河南省,0.27,20200104
滨州市,山东省,0.27,20200104
潍坊市,山东省,0.25,20200104
齐齐哈尔市,黑龙江省,0.24,20200104
邢台市,河北省,0.24,20200104
四平市,吉林省,0.23,20200104
德州市,山东省,0.23,20200104
巴彦淖尔市,内蒙古自治区,0.22,20200104
铁岭市,辽宁省,0.21,20200104
广州市,广东省,0.21,20200104
吉林市,吉林省,0.2,20200104
青岛市,山东省,0.18,20200104
太原市,山西省,0.18,20200104
南京市,江苏省,0.18,20200104
深圳市,广东省,0.18,20200104
丹东市,辽宁省,0.18,20200104
淄博市,山东省,0.17,20200104
朝阳市,辽宁省,15.95,20200105
北京市,北京市,13.9,20200105
通辽市,内蒙古自治区,13.87,20200105
锡林郭勒盟,内蒙古自治区,8.57,20200105
承德市,河北省,7.16,20200105
呼和浩特市,内蒙古自治区,5.1,20200105
沈阳市,辽宁省,4.47,20200105
唐山市,河北省,2.52,20200105
天津市,天津市,2.34,20200105
锦州市,辽宁省,1.77,20200105
兴安盟,内蒙古自治区,1.44,20200105
廊坊市,河北省,1.21,20200105
大连市,辽宁省,0.96,20200105
乌兰察布市,内蒙古自治区,0.89,20200105
葫芦岛市,辽宁省,0.85,20200105
保定市,河北省,0.83,20200105
长春市,吉林省,0.82,20200105
盘锦市,辽宁省,0.81,20200105
阜新市,辽宁省,0.69,20200105
沧州市,河北省,0.68,20200105
包头市,内蒙古自治区,0.68,20200105
张家口市,河北省,0.68,20200105
呼伦贝尔市,内蒙古自治区,0.59,20200105
秦皇岛市,河北省,0.51,20200105
哈尔滨市,黑龙江省,0.51,20200105
上海市,上海市,0.42,20200105
松原市,吉林省,0.41,20200105
营口市,辽宁省,0.41,20200105
鞍山市,辽宁省,0.38,20200105
石家庄市,河北省,0.35,20200105
郑州市,河南省,0.31,20200105
鄂尔多斯市,内蒙古自治区,0.29,20200105
济南市,山东省,0.26,20200105
本溪市,辽宁省,0.25,20200105
丹东市,辽宁省,0.24,20200105
辽阳市,辽宁省,0.24,20200105
四平市,吉林省,0.22,20200105
齐齐哈尔市,黑龙江省,0.22,20200105
铁岭市,辽宁省,0.21,20200105
南京市,江苏省,0.19,20200105
白城市,吉林省,0.18,20200105
巴彦淖尔市,内蒙古自治区,0.17,20200105
吉林市,吉林省,0.17,20200105
深圳市,广东省,0.16,20200105
邢台市,河北省,0.16,20200105
德州市,山东省,0.16,20200105
广州市,广东省,0.16,20200105
青岛市,山东省,0.14,20200105
成都市,四川省,0.14,20200105
西安市,陕西省,0.14,20200105
朝阳市,辽宁省,16.36,20200106
通辽市,内蒙古自治区,14.24,20200106
北京市,北京市,12.48,20200106
锡林郭勒盟,内蒙古自治区,8.32,20200106
承德市,河北省,6.63,20200106
呼和浩特市,内蒙古自治区,4.87,20200106
沈阳市,辽宁省,4.73,20200106
天津市,天津市,2.42,20200106
唐山市,河北省,1.68,20200106
锦州市,辽宁省,1.59,20200106
廊坊市,河北省,1.39,20200106
兴安盟,内蒙古自治区,1.35,20200106
大连市,辽宁省,1.27,20200106
保定市,河北省,1.19,20200106
乌兰察布市,内蒙古自治区,0.94,20200106
包头市,内蒙古自治区,0.86,20200106
呼伦贝尔市,内蒙古自治区,0.77,20200106
阜新市,辽宁省,0.68,20200106
沧州市,河北省,0.66,20200106
葫芦岛市,辽宁省,0.65,20200106
长春市,吉林省,0.63,20200106
石家庄市,河北省,0.59,20200106
盘锦市,辽宁省,0.56,20200106
哈尔滨市,黑龙江省,0.5,20200106
张家口市,河北省,0.49,20200106
上海市,上海市,0.43,20200106
