city_name,province_name,value,date
唐山市,河北省,27.39,20200101
葫芦岛市,辽宁省,12.11,20200101
北京市,北京市,12.04,20200101
天津市,天津市,8.05,20200101
石家庄市,河北省,3.6,20200101
承德市,河北省,2.93,20200101
保定市,河北省,2.28,20200101
廊坊市,河北省,2.11,20200101
沧州市,河北省,1.78,20200101
沈阳市,辽宁省,1.44,20200101
衡水市,河北省,1.35,20200101
哈尔滨市,黑龙江省,1.04,20200101
邯郸市,河北省,1.03,20200101
邢台市,河北省,0.92,20200101
锦州市,辽宁省,0.85,20200101
朝阳市,辽宁省,0.79,20200101
张家口市,河北省,0.77,20200101
长春市,吉林省,0.62,20200101
潍坊市,山东省,0.53,20200101
赤峰市,内蒙古自治区,0.51,20200101
大连市,辽宁省,0.5,20200101
上海市,上海市,0.48,20200101
济南市,山东省,0.43,20200101
青岛市,山东省,0.42,20200101
郑州市,河南省,0.35,20200101
绥化市,黑龙江省,0.33,20200101
大同市,山西省,0.33,20200101
鞍山市,辽宁省,0.32,20200101
南京市,江苏省,0.28,20200101
成都市,四川省,0.28,20200101
重庆市,重庆市,0.27,20200101
齐齐哈尔市,黑龙江省,0.27,20200101
滨州市,山东省,0.27,20200101
德州市,山东省,0.25,20200101
营口市,辽宁省,0.24,20200101
苏州市,江苏省,0.24,20200101
太原市,山西省,0.23,20200101
西安市,陕西省,0.22,20200101
盘锦市,辽宁省,0.22,20200101
杭州市,浙江省,0.22,20200101
吉林市,吉林省,0.2,20200101
广州市,广东省,0.19,20200101
菏泽市,山东省,0.19,20200101
通辽市,内蒙古自治区,0.18,20200101
大庆市,黑龙江省,0.16,20200101
济宁市,山东省,0.16,20200101
牡丹江市,黑龙江省,0.16,20200101
阜新市,辽宁省,0.16,20200101
呼伦贝尔市,内蒙古自治区,0.14,20200101
辽阳市,辽宁省,0.14,20200101
唐山市,河北省,19.4,20200102
北京市,北京市,11.28,20200102
天津市,天津市,7.63,20200102
葫芦岛市,辽宁省,5.6,20200102
石家庄市,河北省,5.19,20200102
保定市,河北省,3.91,20200102
廊坊市,河北省,2.57,20200102
沧州市,河北省,2.43,20200102
承德市,河北省,2.31,20200102
邯郸市,河北省,1.76,20200102
沈阳市,辽宁省,1.7,20200102
邢台市,河北省,1.59,20200102
哈尔滨市,黑龙江省,1.45,20200102
张家口市,河北省,1.27,20200102
衡水市,河北省,1.25,20200102
长春市,吉林省,0.86,20200102
锦州市,辽宁省,0.78,20200102
上海市,上海市,0.77,20200102
赤峰市,内蒙古自治区,0.75,20200102
重庆市,重庆市,0.65,20200102
大连市,辽宁省,0.62,20200102
朝阳市,辽宁省,0.62,20200102
绥化市,黑龙江省,0.57,20200102
青岛市,山东省,0.52,20200102
郑州市,河南省,0.51,20200102
成都市,四川省,0.5,20200102
鞍山市,辽宁省,0.44,20200102
齐齐哈尔市,黑龙江省,0.44,20200102
营口市,辽宁省,0.37,20200102
济南市,山东省,0.36,20200102
盘锦市,辽宁省,0.36,20200102
四平市,吉林省,0.33,20200102
滨州市,山东省,0.32,20200102
太原市,山西省,0.32,20200102
广州市,广东省,0.31,20200102
呼伦贝尔市,内蒙古自治区,0.3,20200102
南京市,江苏省,0.3,20200102
西安市,陕西省,0.29,20200102
菏泽市,山东省,0.29,20200102
吉林市,吉林省,0.29,20200102
武汉市,湖北省,0.29,20200102
深圳市,广东省,0.27,20200102
潍坊市,山东省,0.27,20200102
德州市,山东省,0.27,20200102
威海市,山东省,0.27,20200102
大同市,山西省,0.27,20200102
阜新市,辽宁省,0.26,20200102
通辽市,内蒙古自治区,0.26,20200102
鄂尔多斯市,内蒙古自治区,0.24,20200102
大庆市,黑龙江省,0.24,20200102
唐山市,河北省,23.58,20200103
北京市,北京市,11.21,20200103
葫芦岛市,辽宁省,9.14,20200103
天津市,天津市,7.23,20200103
石家庄市,河北省,4.81,20200103
保定市,河北省,3.42,20200103
廊坊市,河北省,2.75,20200103
承德市,河北省,2.48,20200103
沧州市,河北省,2.08,20200103
沈阳市,辽宁省,1.61,20200103
衡水市,河北省,1.55,20200103
哈尔滨市,黑龙江省,1.52,20200103
邯郸市,河北省,1.52,20200103
张家口市,河北省,1.33,20200103
邢台市,河北省,1.3,20200103
朝阳市,辽宁省,0.79,20200103
锦州市,辽宁省,0.79,20200103
长春市,吉林省,0.78,20200103
大连市,辽宁省,0.62,20200103
上海市,上海市,0.62,20200103
赤峰市,内蒙古自治区,0.51,20200103
成都市,四川省,0.45,20200103
潍坊市,山东省,0.4,20200103
齐齐哈尔市,黑龙江省,0.4,20200103
鞍山市,辽宁省,0.39,20200103
绥化市,黑龙江省,0.39,20200103
济南市,山东省,0.36,20200103
