city_name,province_name,value,date
郑州市,河南省,21.84,20200101
襄阳市,湖北省,8.23,20200101
驻马店市,河南省,6.69,20200101
平顶山市,河南省,6.34,20200101
洛阳市,河南省,3.26,20200101
信阳市,河南省,3.26,20200101
十堰市,湖北省,2.61,20200101
许昌市,河南省,2.21,20200101
西安市,陕西省,2.18,20200101
周口市,河南省,2.14,20200101
北京市,北京市,2.12,20200101
武汉市,湖北省,1.67,20200101
商洛市,陕西省,1.4,20200101
新乡市,河南省,1.31,20200101
随州市,湖北省,1.25,20200101
开封市,河南省,1.22,20200101
三门峡市,河南省,1.13,20200101
漯河市,河南省,1.1,20200101
上海市,上海市,1.05,20200101
苏州市,江苏省,0.84,20200101
商丘市,河南省,0.8,20200101
菏泽市,山东省,0.77,20200101
杭州市,浙江省,0.75,20200101
深圳市,广东省,0.7,20200101
荆门市,湖北省,0.68,20200101
焦作市,河南省,0.65,20200101
广州市,广东省,0.6,20200101
安阳市,河南省,0.57,20200101
东莞市,广东省,0.55,20200101
重庆市,重庆市,0.53,20200101
宜昌市,湖北省,0.5,20200101
荆州市,湖北省,0.47,20200101
孝感市,湖北省,0.45,20200101
咸阳市,陕西省,0.44,20200101
天津市,天津市,0.41,20200101
阜阳市,安徽省,0.38,20200101
运城市,山西省,0.35,20200101
长沙市,湖南省,0.31,20200101
合肥市,安徽省,0.29,20200101
濮阳市,河南省,0.27,20200101
榆林市,陕西省,0.27,20200101
惠州市,广东省,0.27,20200101
南京市,江苏省,0.26,20200101
安康市,陕西省,0.26,20200101
无锡市,江苏省,0.26,20200101
鹤壁市,河南省,0.25,20200101
佛山市,广东省,0.25,20200101
渭南市,陕西省,0.25,20200101
保定市,河北省,0.25,20200101
石家庄市,河北省,0.24,20200101
郑州市,河南省,23.62,20200102
襄阳市,湖北省,4.78,20200102
平顶山市,河南省,4.6,20200102
驻马店市,河南省,4.12,20200102
洛阳市,河南省,2.93,20200102
信阳市,河南省,2.82,20200102
北京市,北京市,2.22,20200102
周口市,河南省,2.17,20200102
西安市,陕西省,2.1,20200102
许昌市,河南省,2.06,20200102
武汉市,湖北省,2.02,20200102
十堰市,湖北省,1.69,20200102
新乡市,河南省,1.48,20200102
东莞市,广东省,1.27,20200102
开封市,河南省,1.22,20200102
上海市,上海市,1.16,20200102
商丘市,河南省,1.16,20200102
漯河市,河南省,1.13,20200102
三门峡市,河南省,1.06,20200102
苏州市,江苏省,1.06,20200102
杭州市,浙江省,0.9,20200102
深圳市,广东省,0.84,20200102
商洛市,陕西省,0.83,20200102
焦作市,河南省,0.77,20200102
广州市,广东省,0.77,20200102
随州市,湖北省,0.75,20200102
重庆市,重庆市,0.72,20200102
荆门市,湖北省,0.7,20200102
天津市,天津市,0.65,20200102
安阳市,河南省,0.6,20200102
菏泽市,山东省,0.6,20200102
咸阳市,陕西省,0.59,20200102
宜昌市,湖北省,0.54,20200102
合肥市,安徽省,0.49,20200102
荆州市,湖北省,0.48,20200102
佛山市,广东省,0.44,20200102
长沙市,湖南省,0.44,20200102
成都市,四川省,0.42,20200102
孝感市,湖北省,0.42,20200102
榆林市,陕西省,0.39,20200102
阜阳市,安徽省,0.38,20200102
南京市,江苏省,0.37,20200102
濮阳市,河南省,0.33,20200102
无锡市,江苏省,0.33,20200102
宜春市,江西省,0.33,20200102
运城市,山西省,0.32,20200102
厦门市,福建省,0.28,20200102
延安市,陕西省,0.28,20200102
常德市,湖南省,0.28,20200102
宁波市,浙江省,0.28,20200102
郑州市,河南省,23.9,20200103
驻马店市,河南省,5.74,20200103
襄阳市,湖北省,5.72,20200103
平顶山市,河南省,5.5,20200103
洛阳市,河南省,3.37,20200103
信阳市,河南省,3.18,20200103
十堰市,湖北省,2.36,20200103
周口市,河南省,2.16,20200103
许昌市,河南省,2.12,20200103
西安市,陕西省,2.1,20200103
北京市,北京市,1.93,20200103
武汉市,湖北省,1.91,20200103
漯河市,河南省,1.5,20200103
开封市,河南省,1.32,20200103
新乡市,河南省,1.29,20200103
商丘市,河南省,1.02,20200103
三门峡市,河南省,1.02,20200103
上海市,上海市,1.01,20200103
东莞市,广东省,1.0,20200103
随州市,湖北省,0.95,20200103
商洛市,陕西省,0.95,20200103
苏州市,江苏省,0.89,20200103
焦作市,河南省,0.73,20200103
深圳市,广东省,0.72,20200103
广州市,广东省,0.69,20200103
荆门市,湖北省,0.68,20200103
