city_name,province_name,value,date
惠州市,广东省,26.75,20200101
深圳市,广东省,19.06,20200101
东莞市,广东省,11.96,20200101
广州市,广东省,11.2,20200101
梅州市,广东省,5.22,20200101
赣州市,江西省,4.7,20200101
佛山市,广东省,2.93,20200101
韶关市,广东省,2.51,20200101
中山市,广东省,1.16,20200101
揭阳市,广东省,0.77,20200101
汕尾市,广东省,0.75,20200101
珠海市,广东省,0.68,20200101
清远市,广东省,0.63,20200101
汕头市,广东省,0.52,20200101
肇庆市,广东省,0.47,20200101
江门市,广东省,0.45,20200101
香港,香港,0.37,20200101
达州市,四川省,0.31,20200101
吉安市,江西省,0.31,20200101
黄冈市,湖北省,0.3,20200101
潮州市,广东省,0.3,20200101
重庆市,重庆市,0.25,20200101
郴州市,湖南省,0.2,20200101
龙岩市,福建省,0.19,20200101
铜仁市,贵州省,0.19,20200101
云浮市,广东省,0.19,20200101
宜春市,江西省,0.19,20200101
湛江市,广东省,0.18,20200101
长沙市,湖南省,0.16,20200101
茂名市,广东省,0.16,20200101
邵阳市,湖南省,0.16,20200101
玉林市,广西壮族自治区,0.15,20200101
永州市,湖南省,0.14,20200101
桂林市,广西壮族自治区,0.13,20200101
南充市,四川省,0.13,20200101
荆州市,湖北省,0.12,20200101
南宁市,广西壮族自治区,0.12,20200101
衡阳市,湖南省,0.12,20200101
信阳市,河南省,0.11,20200101
岳阳市,湖南省,0.11,20200101
孝感市,湖北省,0.1,20200101
安顺市,贵州省,0.1,20200101
澳门,澳门,0.1,20200101
漳州市,福建省,0.1,20200101
黔南布依族苗族自治州,贵州省,0.1,20200101
泉州市,福建省,0.1,20200101
娄底市,湖南省,0.09,20200101
南昌市,江西省,0.09,20200101
文山壮族苗族自治州,云南省,0.09,20200101
南阳市,河南省,0.09,20200101
惠州市,广东省,20.88,20200102
深圳市,广东省,20.54,20200102
东莞市,广东省,12.53,20200102
广州市,广东省,12.41,20200102
梅州市,广东省,4.04,20200102
佛山市,广东省,3.81,20200102
赣州市,江西省,2.87,20200102
韶关市,广东省,1.56,20200102
中山市,广东省,1.0,20200102
揭阳市,广东省,0.84,20200102
汕头市,广东省,0.8,20200102
汕尾市,广东省,0.72,20200102
清远市,广东省,0.72,20200102
重庆市,重庆市,0.66,20200102
江门市,广东省,0.62,20200102
珠海市,广东省,0.6,20200102
达州市,四川省,0.58,20200102
黄冈市,湖北省,0.51,20200102
肇庆市,广东省,0.4,20200102
吉安市,江西省,0.38,20200102
香港,香港,0.32,20200102
常德市,湖南省,0.31,20200102
邵阳市,湖南省,0.3,20200102
南充市,四川省,0.28,20200102
襄阳市,湖北省,0.25,20200102
长沙市,湖南省,0.24,20200102
遵义市,贵州省,0.23,20200102
潮州市,广东省,0.23,20200102
铜仁市,贵州省,0.23,20200102
黔东南苗族侗族自治州,贵州省,0.22,20200102
云浮市,广东省,0.21,20200102
泉州市,福建省,0.21,20200102
岳阳市,湖南省,0.21,20200102
湛江市,广东省,0.21,20200102
益阳市,湖南省,0.21,20200102
茂名市,广东省,0.21,20200102
南昌市,江西省,0.21,20200102
娄底市,湖南省,0.19,20200102
永州市,湖南省,0.19,20200102
郴州市,湖南省,0.19,20200102
澳门,澳门,0.19,20200102
衡阳市,湖南省,0.18,20200102
荆州市,湖北省,0.18,20200102
信阳市,河南省,0.17,20200102
宜春市,江西省,0.17,20200102
厦门市,福建省,0.17,20200102
阳江市,广东省,0.16,20200102
毕节市,贵州省,0.16,20200102
怀化市,湖南省,0.16,20200102
南宁市,广西壮族自治区,0.15,20200102
惠州市,广东省,23.52,20200103
深圳市,广东省,17.67,20200103
广州市,广东省,14.89,20200103
东莞市,广东省,9.88,20200103
梅州市,广东省,5.25,20200103
赣州市,江西省,3.74,20200103
佛山市,广东省,3.15,20200103
韶关市,广东省,1.96,20200103
揭阳市,广东省,0.97,20200103
中山市,广东省,0.9,20200103
汕头市,广东省,0.87,20200103
