city_name,province_name,value,date
长沙市,湖南省,42.06,20200101
湘潭市,湖南省,12.85,20200101
衡阳市,湖南省,6.17,20200101
萍乡市,江西省,4.54,20200101
郴州市,湖南省,2.81,20200101
娄底市,湖南省,2.66,20200101
岳阳市,湖南省,2.39,20200101
邵阳市,湖南省,2.31,20200101
益阳市,湖南省,1.97,20200101
广州市,广东省,1.5,20200101
深圳市,广东省,1.2,20200101
常德市,湖南省,1.2,20200101
永州市,湖南省,1.02,20200101
荆州市,湖北省,0.93,20200101
宜春市,江西省,0.91,20200101
吉安市,江西省,0.87,20200101
怀化市,湖南省,0.82,20200101
东莞市,广东省,0.78,20200101
武汉市,湖北省,0.6,20200101
上海市,上海市,0.45,20200101
湘西土家族苗族自治州,湖南省,0.42,20200101
佛山市,广东省,0.41,20200101
北京市,北京市,0.37,20200101
南昌市,江西省,0.37,20200101
张家界市,湖南省,0.34,20200101
重庆市,重庆市,0.28,20200101
赣州市,江西省,0.24,20200101
咸宁市,湖北省,0.23,20200101
杭州市,浙江省,0.23,20200101
韶关市,广东省,0.21,20200101
孝感市,湖北省,0.21,20200101
中山市,广东省,0.18,20200101
南宁市,广西壮族自治区,0.18,20200101
惠州市,广东省,0.16,20200101
新余市,江西省,0.15,20200101
成都市,四川省,0.15,20200101
温州市,浙江省,0.15,20200101
昆明市,云南省,0.13,20200101
桂林市,广西壮族自治区,0.13,20200101
珠海市,广东省,0.12,20200101
合肥市,安徽省,0.12,20200101
肇庆市,广东省,0.12,20200101
郑州市,河南省,0.12,20200101
清远市,广东省,0.12,20200101
黄石市,湖北省,0.12,20200101
宁波市,浙江省,0.11,20200101
西安市,陕西省,0.11,20200101
黔东南苗族侗族自治州,贵州省,0.11,20200101
仙桃市,湖北省,0.11,20200101
九江市,江西省,0.11,20200101
长沙市,湖南省,35.0,20200102
湘潭市,湖南省,8.38,20200102
衡阳市,湖南省,5.8,20200102
邵阳市,湖南省,3.21,20200102
郴州市,湖南省,2.95,20200102
岳阳市,湖南省,2.83,20200102
娄底市,湖南省,2.76,20200102
萍乡市,江西省,2.67,20200102
广州市,广东省,2.49,20200102
益阳市,湖南省,2.23,20200102
深圳市,广东省,1.92,20200102
荆州市,湖北省,1.8,20200102
常德市,湖南省,1.6,20200102
永州市,湖南省,1.41,20200102
怀化市,湖南省,1.21,20200102
东莞市,广东省,0.9,20200102
